	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub68	0.11111096699999998	0.144201372	0.137251016	0.06137396939999999	0.27217793	0.058916729	0.0851081572	0.0585949532	0.0712648884
Sub69	0.13653949	0.15470237400000003	0.05083400019999999	0.0770346828	0.37860857600000003	0.040751026	0.064140761	0.0377118028	0.059677285999999996
Sub70	0.1207487188	0.151816552	0.17528237799999996	0.1300403	0.116200789	0.0747696044	0.0860687172	0.06034758760000001	0.084725392
Sub71	0.138389704	0.189661938	0.03683922860000001	0.27522385599999993	0.14473904399999998	0.042635488799999996	0.08523540900000001	0.026945822599999995	0.060329530000000006
Sub72	0.09231857	0.079583496	0.0841154252	0.030692836	0.53132722	0.052335935199999996	0.060938427	0.0459140782	0.022774047999999998
Sub73	0.08896891199999998	0.30310076399999997	0.07460952579999999	0.189605142	0.0928630118	0.0526897534	0.0775428562	0.0406038118	0.08001622100000001
Sub74	0.0655669336	0.1126511158	0.0842201192	0.33232182000000005	0.0359960726	0.053798471	0.0763198142	0.04999250239999999	0.18913316400000002
Sub75	0.106719584	0.095939189	0.14463490399999998	0.225291276	0.15132836119999998	0.075654874	0.099341616	0.055469127400000005	0.0456210936
Sub76	0.142751894	0.199963112	0.074080934	0.047739814199999994	0.33251545400000004	0.0379802724	0.07335820200000001	0.0387215554	0.0528887882
Sub77	0.088332202	0.138392288	0.12986024	0.24101483799999998	0.1254919928	0.0611138446	0.068244151	0.058356840599999994	0.0891936208
Sub78	0.11286188180000001	0.194110914	0.17801528	0.0575024846	0.22307623199999999	0.07697457199999999	0.0714312688	0.05519284480000001	0.030834531199999998
Sub79	0.1153763954	0.117328952	0.138706018	0.19360931	0.12016155799999999	0.06495514179999999	0.087053278	0.0536393362	0.10917003159999998
Sub80	0.1014586888	0.07417074700000001	0.133680984	0.29276973799999995	0.07947909880000001	0.06165887719999998	0.0828924588	0.0506247774	0.12326462800000001
Sub81	0.12098140800000001	0.11906956399999999	0.11087173759999999	0.070146848	0.34280413	0.0604017664	0.091966572	0.043987331000000005	0.03977064140000001
Sub82	0.05472476639999999	0.0841480612	0.20482830400000002	0.25088433400000004	0.0829372058	0.05654572120000001	0.0720758574	0.07202072200000001	0.121835066
Sub83	0.0755351428	0.08601604980000002	0.0885219944	0.30587059199999994	0.112658878	0.052897004000000004	0.083354552	0.029414558	0.165731206
Sub84	0.1067524912	0.0858421	0.159561912	0.13020315799999999	0.200383622	0.07468651479999999	0.084890421	0.0918548642	0.0658249008
Sub85	0.126337304	0.146122222	0.073987375	0.197305542	0.194325842	0.06275480879999999	0.08081526399999998	0.050334702800000006	0.06801695379999999
Sub86	0.12062857099999999	0.192046558	0.11299105680000002	0.08622486599999998	0.20954025999999998	0.05950822499999999	0.0718701944	0.0458359094	0.10135435400000001
Sub87	0.0914059652	0.221859666	0.146392692	0.20761833200000002	0.06434835659999999	0.06518286100000001	0.076189501	0.067369346	0.05963332979999999
Sub88	0.192540702	0.285080832	0.0671505218	0.022739931799999998	0.215758164	0.05651821580000001	0.091992084	0.043180256400000006	0.0250392872
Sub89	0.12075581799999999	0.246733374	0.075182391	0.0440064156	0.330696188	0.05339098799999999	0.0576639294	0.04181230300000001	0.029758574399999998
