	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub76	0.304762428	0.296167128	0.14660462079999997	0.106416661	0.0270092316	0.053912971600000005	0.0651269556
Sub77	0.156412438	0.212731942	0.08182600400000001	0.07844223400000001	0.0445629566	0.09378339399999999	0.33224101600000006
Sub78	0.26319959800000003	0.30836170999999996	0.11491784299999999	0.10632376800000001	0.05733079139999999	0.042286979	0.10757932320000001
Sub79	0.14961955600000001	0.20370744000000002	0.08551451299999999	0.0934864504	0.0432393252	0.15873661	0.26569612400000003
Sub80	0.10814642000000001	0.12932679200000002	0.06489039299999999	0.0723754236	0.0397619798	0.18873237199999998	0.396766614
Sub81	0.3170534420000001	0.252994644	0.11067279299999999	0.117731132	0.0365346206	0.050914901	0.1140984448
Sub82	0.143237004	0.12459403100000002	0.0777398864	0.1032238288	0.1006116136	0.24185748199999998	0.208736184
Sub83	0.126157087	0.14248125120000002	0.055627145999999995	0.06653079960000001	0.021034552800000002	0.22695464799999998	0.36121454
Sub84	0.224445644	0.16115821000000002	0.1085057564	0.115937624	0.10854404120000001	0.116078733	0.165329972
Sub85	0.21118069200000003	0.22979699399999998	0.097772358	0.0803313152	0.03315062840000001	0.08795245300000001	0.259815566
Sub86	0.217879364	0.30260172	0.111182705	0.08908752	0.0358734482	0.115967036	0.127408216
Sub87	0.0937447912	0.27809031	0.097027566	0.0975505818	0.07167119799999999	0.0721322552	0.28978328200000003
Sub88	0.23432107800000002	0.37948884000000005	0.17548039399999998	0.121479987	0.030516080600000002	0.0242974618	0.0344161208
Sub89	0.310589032	0.357139128	0.119968518	0.0792938528	0.033693752800000004	0.031087680599999994	0.0682280494
