"","alpha","beta","gamma","delta","acinar","ductal","endothelial","activated_stellate","quiescent_stellate"
"Sub40",0.154812187053643,0.000963944670285113,0.00275152260329561,0,0.146458824604391,0.458039577760957,0.126319339469935,0.0378955546920427,0.0727590491454501
"Sub41",0.537318167055696,0,0,0.00341297248831743,0.0269135911920551,0.283733127977054,0.0887231303569353,0.017606537444584,0.0422924734853584
"Sub42",0.48930064257193,0,0.000914909823165218,0.00537352143083956,0.0299319787988926,0.316296974692412,0.0799349298650764,0.00815847704829175,0.0700885657693923
"Sub43",0.672840578736752,0.0313905291180203,0,0.00655241717078856,0.0451207461423132,0.0771266702285694,0.118253421313719,0.0109455583332316,0.037770078956606
"Sub44",0.532621886362723,0.00242935995082955,0,0.0101399824027601,0.0192039815699593,0.246104946191081,0.12486195256762,0.0227435168422509,0.0418943741127765
"Sub45",0.748655761175085,0.00723307145024018,0.00640076658174773,0.0137516207597167,0.00329746276215914,0.0422644943650695,0.126758120445201,0.000460261250237523,0.0511784412105431
"Sub46",0.529857959065717,0.016092115065465,0.00107594848106109,0.000545612570611263,0.112671405665273,0.158826425873471,0.111189953544681,0,0.0697405797337216
"Sub47",0.367587166995317,0.0149528983778359,0.00678395831840419,0.00946129137523876,0.0931184804110139,0.252908762001536,0.16871661897973,0.0231844265244254,0.0632863970164986
"Sub48",0.547800856615326,0.0953546433679398,0.0367377693926526,0.00998987955600643,0.020988776540958,0.142768254273639,0.0723149206901361,0.0183953628842197,0.0556495366791226
"Sub49",0.819367788303347,0,0,0.00236303712072569,0,0.0930452229774802,0.0745817852563,0.0105495922976186,9.25740445284726e-05
"Sub50",0.711664148452603,0,0,0.00114905507845038,0.0229163130869321,0.109054861642401,0.102592385745545,0.00586138089259949,0.0467618551014688
"Sub51",0.494330974219029,0.00970287519466466,5.05285110163508e-05,0.0041138481622991,0.0141219531209501,0.270435403124812,0.13012746507102,0.00672953757669657,0.0703874150195122
"Sub52",0.570077567394043,0.000153750181216684,0.00145819455002155,0.0411911879358367,0.0467399561089509,0.230706346515503,0.0841263309029892,0,0.0255466664114386
"Sub53",0.284286269527617,0.00079862670552481,0.00507585454209507,0,0.057462342141882,0.439098441913508,0.131147820823455,0.0814762042633106,0.000654440082607392
"Sub54",0.50732431663271,0.00660673126714972,0.000943102695245038,0.00390371799395623,0.0245784477951783,0.2572010744684,0.127833183464931,0.034121929965222,0.0374874957172081
"Sub55",0.214449771735998,0.0685705192695235,0.0172776547973352,0.00270244193547513,0.06804105049047,0.474561968425264,0.0916546459058809,0.0178117089139483,0.0449302385261049
"Sub56",0.170391057709454,0,0.000864004156714967,0,0.079538572667296,0.594924095952975,0.0869270303382296,0.0183815728942523,0.0489736662810781
"Sub57",0.541019820578204,0.0297819141508613,0,0,0.0146649926869564,0.233246125086907,0.107535273910992,0.0334449712964868,0.0403069022895918
"Sub58",0.34424486159726,0.0506596521214135,0.00280302260876782,0.0102399332051194,0.0052960787464842,0.2839382436694,0.169156118781889,0.000382043805490861,0.133280045464175
"Sub59",0.387234963866108,0.0767984272542752,0.00710752860977953,0.00482103558692654,0.028754345285678,0.342401980877362,0.10956660713523,0.0423415491943624,0.000973562190277556
"Sub60",0.356712658205681,0,0,0.00670696764302854,0.0444380118438885,0.463277476079361,0.0997506975019726,0.0291141887260683,0
"Sub61",0.453821863513762,1.6420750852291e-05,0.00501293510327845,0.00491736089778427,0.140722435167838,0.244657849762322,0.111852084798178,0.00650757386408398,0.0324914761419002
"Sub62",0.812246631439253,0.0104792248957722,0.00077508601598196,0.00470772817593605,0,0.0333419739421667,0.101132876582836,0.0313057778161533,0.0060107011319003
"Sub63",0.678387389533558,0.0585339569082264,0,0.00454797782362821,0.00751396971039557,0.0422429426965551,0.156036353598874,0.00371195600523035,0.0490254537235326
"Sub64",0.600258619899293,0.000479440155963613,0,0,0.0553649627393443,0.146017600941406,0.131173054996241,0.000223234154302583,0.0664830871134492
"Sub65",0.334131167193067,0.000599254465497736,0.0938964256519852,2.65981155911561e-05,0.0125922176822049,0.288452216033099,0.147781181059703,0.0423798793166154,0.0801410604822357
"Sub66",0.135162382904396,0.0404957442082998,0.0156398365346941,0.00692423637306853,0.0120950563814492,0.428477272102915,0.295838724854212,0.00568046182642711,0.0596862848145383
"Sub67",0.299138486341746,0.0364570158669437,0.0007185138619409,0,0.0275965310571492,0.387468769821058,0.160608095860463,0.0178502539901121,0.0701623332005871
"Sub68",0.548479704351333,0.0024962031890145,0.00456143187193789,0.0144471893060871,0.0132980139529445,0.108129177350869,0.20603342289878,0.0489651518864742,0.0535897051925598
"Sub69",0.662539003450294,0,0,0.0256898788425038,0.0155131077223463,0.113608811472103,0.142974078566827,0.00460991769554343,0.0350652022503821
"Sub70",0.538543306584119,0.000229460130268362,0.000108769383055829,0,0.00380080959443061,0.241700863775195,0.142534093125019,0.0684494767572035,0.00463322065070894
"Sub71",0.733230282538257,0,0,0.00406926909074793,0,0.187950151441238,0.0628271544895867,0.00489873931797605,0.00702440312219531
"Sub72",0.56228202759778,0.0284673606465669,0.000645144500326591,0.00133103512227449,0,0.0610212202200547,0.181492209423458,0.0467344520966709,0.118026550392868
"Sub73",0.727650628899034,0,9.25112908394273e-05,0.00206064361712557,0.0167863585732623,0.101999183856783,0.111478755076902,0.0126617204061391,0.0272701982799141
"Sub74",0.35614934796339,0,0.00139212984718808,0,0.0391592006772812,0.473519225811286,0.0832223263654706,0.0459740408795726,0.000583728455811241
"Sub75",0.346349297266079,0,0.00255894665928624,0,0,0.369269197683963,0.150589945055896,0.0850572684065276,0.0461753449282482
