	acinar	ductal	delta	activated_stellate	alpha	beta	epsilon	gamma	endothelial	quiescent_stellate	macrophage	schwann	mast	t_cell
Sub18	0.0380695728009878	0.0530377855746435	0.0134441188675093	0.1121497588132	0.255799357307049	0.371185741315692	3.1467855073474e-06	0.0016316676872785	0.109993181480848	0.0203253993286215	0.0037739346353118	0.0168931781047587	0.003642443663141	5.07136354512263e-05
Sub19	0.115627611827677	0.0217620982756559	0.0090409787029448	0.0802584635181158	0.310085318066071	0.360129065791142	0.0067861988689426	0.0050440458648554	0.0744027514684635	0.0086092282332794	0.0027802272590658	0.0035244375693974	0.0018956342561449	5.39402982438222e-05
Sub20	7.17703786694081e-07	0.0384649325852722	0.022599655884334	0.148647859177603	0.16412071829402	0.56159142725043	0.0054987795379602	9.82322417051119e-07	0.0486052116671171	1.26527311520682e-05	0.0095870465666521	3.95499809502731e-06	0.0008634892603349	2.5720208250635e-06
Sub21	5.64595336007755e-07	0.0933236042644414	0.0375984633671985	0.129523500099294	0.13231244674784	0.529475805758739	0.0279875095665919	6.87205165978272e-07	0.0394466282695408	0.0024512914994245	0.0078504441912786	3.12010678191061e-06	2.43160896011597e-05	1.61823876666519e-06
Sub22	0.0072267016898039	0.0075989164772729	5.67449303452232e-07	0.194241567586663	0.483897892095335	0.248279109340633	0.0081168276266474	0.0004934442121125	0.0393110596119004	3.07613525371092e-06	0.0103733996975793	1.44273132446e-06	0.0004066282379487	4.93671082233143e-05
Sub23	0.0532003603591371	0.0355195079952895	0.0228654527731004	0.0486177044977334	0.447747210228256	0.351767151908324	0.0015135725709578	0.0069544650085677	0.0194412177197304	4.17188882849615e-06	0.0121919394229182	1.13789538694611e-06	0.0001747113904336	1.39634133640941e-06
Sub24	0.046111905374389	0.0261313157247372	0.0291106881120351	0.103547628383183	0.394618302754839	0.302622896391766	0.0008829296037033	0.002703113333048	0.0687656485119448	0.016531929144064	0.0038611961137979	0.0038929936122118	0.0011966914911532	2.27614491277355e-05
Sub25	0.0353172690183356	0.0054452560914968	0.0015427135682	0.0727964697130487	0.710839243388844	0.149418443192743	2.52846159709184e-06	0.0022147355134863	0.0171226715935821	4.34170159862181e-06	0.0052645250186708	1.7226609446544e-06	2.87626619483294e-05	1.3174155041846e-06
Sub26	0.121316200917889	0.000341314034759	1.01685072100811e-06	0.0615725608431084	0.481166350369446	0.278691036640106	0.0076338166763698	1.55114065727946e-06	0.0329688371924082	0.0108583496370963	0.0029334497177673	0.0011840505049343	0.0013155717601051	1.58937146314965e-05
Sub27	0.150325892803149	0.0270258332867066	0.0083955297893527	0.0647972546618227	0.312791731174736	0.340007652231493	0.0034795307777923	8.7098799102209e-07	0.069547397249976	0.0111128605382279	0.0025921608269664	0.0079079618276274	0.0019994069864731	1.59168576855859e-05
Sub28	0.0326544027157457	0.0048569366631474	1.00653388163859e-06	0.0597560933647401	0.427149052408669	0.417900155898469	0.0110509214005568	6.67274553470105e-07	0.0241717058138907	0.0137183811294843	0.0069581122622609	0.0001923105954083	0.0015680675151156	2.2186424076413e-05
Sub29	0.0205800577941722	0.0210020045281622	0.0173889372379804	0.0587672614277508	0.220976027804166	0.552526388814989	0.0155203660755569	0.0019041035968839	0.0501159926599507	0.0285201818298213	0.0039957995111803	0.0063147238264727	0.0022749961510975	0.0001131587418154
Sub30	0.0175556120277009	0.0371888154181709	0.0037801355783271	0.0764837147771984	0.179490816243244	0.622199040062933	0.0201448622352889	3.47821514245704e-06	0.0352046009997785	0.0037712315202582	0.0037385996926038	5.0412131954347e-06	0.0004298735692683	4.17844688992414e-06
Sub31	0.0251391602891458	6.42355602969398e-06	1.64341721519826e-06	0.0603237143541332	0.410337100494523	0.399452430632826	0.0116317695923773	1.55094284924306e-06	0.0732172058427967	0.0166031798972311	0.0008149873541409	6.80081149119044e-06	0.0024525038558276	1.15289594127279e-05
Sub32	0.119934606798454	1.60265706067477e-06	0.0017371044345143	0.195947160166472	0.299529978311144	0.273201798425807	2.13585209297592e-06	0.0006056665227842	0.0708340454016143	0.0285866562294732	0.0043119311635063	0.0028464717429867	0.0023678006720817	9.30416220083313e-05
Sub33	0.060520418191177	0.0678357754415674	0.011865653433437	0.0408277948003894	0.126157593351848	0.531966960287154	0.0054350466359599	0.0006787880303435	0.0732142803951641	0.0494530752914311	0.0006489853198077	0.0313600053671392	1.1015282835288e-05	2.4608171745646e-05
Sub34	0.165356862782756	0.0268127130739201	0.0276693731691446	0.0484318085721746	0.109852386593427	0.51927569059909	0.0049052783576303	3.10902382876696e-06	0.0677624885918102	0.0166877543296863	0.0032841938738286	0.0075779378598782	0.0017353362215978	0.0006450669512272
Sub35	0.221368118353866	0.0161489016069745	2.1330474943395e-06	0.10144939207944	0.32335982859927	0.248787975776294	2.23071993774799e-06	0.0059076653848182	0.0530172180556683	0.0142073386203091	0.0039347995490274	0.0071467638837521	0.0044185188688467	0.0002491154543015
Sub36	0.178520825991771	0.0028030078173476	0.0112718411359063	0.0414574724346982	0.545997190645585	0.19570559567379	0.0024609604003216	0.0016063400679341	0.0134011721408937	0.0017675842799241	0.0049039347880325	2.48563357241338e-06	0.0001000134750249	1.57551519741479e-06
Sub37	0.0136482483600911	0.0283853214854545	0.0308462291573345	0.0608172070743146	0.289959671685382	0.543567351826144	0.0005422774969812	3.31807484363532e-06	0.0239616992118317	0.0041636535572221	0.0036330480050062	4.53103646920622e-06	0.0004645030334483	2.93999547730276e-06
Sub38	0.0072960070085727	0.128483703956188	0.0401366101314822	0.0753029221253171	0.0500394967228263	0.61757164760247	0.0017545499517026	0.0168603270912432	0.0446393756608201	0.0132723881328768	0.0034862388998485	0.000907416360074	0.0002472921764677	2.024180110411e-06
Sub39	0.22732133058637	0.0524741361348443	0.0133851362556375	0.0108560020604719	0.197937212279519	0.368650497281029	0.0212329417531152	0.032177933850672	0.0430510028613897	0.016638597499151	0.0017063108623402	0.0136102145778077	0.0008576141921577	0.0001010698054949
Sub40	0.360337990966336	1.72443302842443e-06	5.52684515089898e-07	0.0884269009233615	0.370282734829819	0.115994403424694	1.69260248629191e-06	0.0025806023758896	0.0443211329404601	0.0037681163822297	0.0051138781980954	0.0019973197814359	0.0056732899817469	0.0014996604759016
Sub41	0.0478704611639453	3.4494686736442e-06	0.00299460747504	0.065827665385346	0.36895734379591	0.446153810501965	0.0124466505831417	1.32294322177183e-06	0.0368651989434162	0.0079654114425486	0.0066429538161859	0.0032761829050832	0.0009742243290372	2.07172464858285e-05
Sub42	0.0702874520657123	1.19259101736026e-06	0.0084989415584707	0.0809694643645545	0.433711989044063	0.313797693363669	0.0014389549755617	0.0015154298310478	0.0450710259740763	0.028959427564955	0.0074369176289717	0.0057163930999689	0.0022994527287504	0.0002956652091807
Sub43	0.0432554461162833	2.96067180360652e-06	0.0118111344331723	0.0670471319121051	0.295860451442097	0.51571438308064	0.0056954884359764	2.80988484159598e-06	0.0408399234126502	0.0134824273491385	0.0038232828825939	8.18635774001615e-05	0.0023538430985958	2.88537027022278e-05
Sub44	0.0520975320303714	0.0095231772197088	0.0153089474902793	0.104946073987014	0.418582754785353	0.327109255312237	0.0001190836941799	3.26035050048291e-06	0.0550593538642027	0.0053771521766489	0.0023231521580217	0.0009156911522285	0.00821058812178	0.0004239776574734
Sub45	0.023191031531633	0.0119959999573969	0.0328939261661618	0.0321013655911367	0.130358305170046	0.640251642910109	0.0001352396591672	0.0106493723431108	0.0709146845618278	0.0364556547523339	0.0016432104239892	0.005865440769085	0.0034643831582369	7.97430057658725e-05
Sub46	0.277949700415058	0.0035262603315349	0.0022004043275619	0.0312108967600041	0.247901494412536	0.329116225508038	0.0016942243867366	0.0022022591845362	0.0513463894603127	0.0376918891205254	0.0027126787937855	0.0087845664300225	0.0032719960508373	0.0003910148185105
Sub47	0.242442529995575	0.0158203710251369	0.0130625620794903	0.0514567350364622	0.227465854443021	0.320879172509473	0.000466867202293	0.0055126684860532	0.0831270538619956	0.0275712596039449	0.0020869108465043	0.0079551343126324	0.0021181534939718	3.47271034454434e-05
Sub48	0.0475648270758402	0.119333709777405	0.0178662340248643	0.0513595814926672	0.210529473344159	0.444825746585322	0.0002107388445022	0.0371862863360133	0.033227610215142	0.0130406788857478	0.0049744908862533	0.0194948154268797	0.0002704081644871	0.0001153989407178
Sub49	6.92021298212309e-07	0.0170444179783509	2.69289361787283e-06	0.0521534353773225	0.336722148943006	0.536715920914489	0.0371026337104754	1.37420780851247e-06	0.0185244240131971	8.05476808156883e-06	0.0012380703668544	6.29204752557475e-06	0.0004772874228024	2.55533517088897e-06
Sub50	0.0243064490538287	0.0051677415521829	0.0021204969380322	0.0788456160418248	0.317521255376697	0.481285953583584	0.0041647973601257	1.97126777994839e-06	0.0576956691542101	0.0208664254301246	0.0063260611225918	0.0007121228390148	0.0009664513770161	1.89889029864594e-05
Sub51	0.0466611170113626	0.0402790177114794	0.005891403723255	0.0593512029923489	0.354705390897092	0.406561414128938	0.0002216851696275	0.000504632617963	0.0413952105091765	0.0200151345670026	0.0046823627198862	0.0181801443761875	0.0015068686834828	4.44148921983245e-05
Sub52	0.161332629585995	0.0077273925761902	0.05659249389897	0.007853131142373	0.344156899042344	0.38899144661887	6.54136312697208e-06	0.001861642270395	0.0154388285625923	0.0053343302310314	0.0028421188769325	0.0075059209648184	0.000353890270956	2.73459540424238e-06
