	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub23	0.0261428420977842	0.339132783533705	0.0067811527443618	0.211662701593034	0.236070967449251	0.0575580859538011	0.0038057795438812	7.71508830269236e-05	0.0028233446925977	0.0858136690483833	0.0192650292575901	0.0107153933933532	0.0001448887901463	6.21101908463231e-06
Sub24	0.024779791014852	0.236384935843555	0.0030733397294862	0.296695310952619	0.112393685276863	0.0329697297817166	3.63017005484859e-06	0.0333921851882707	0.0079790923408922	0.161945629838058	0.0696856756844342	0.0068307329775471	0.0001980146082269	0.0136682465934238
Sub25	0.0088714033646569	0.136669031284447	0.0025665744974331	0.433221074626199	0.236133949794125	0.0203650723730916	0.0027053135360831	0.0001725977663085	0.0009656878034544	0.132395325148944	0.0193326393754961	0.0064591739373402	0.0001356369381382	6.5195542827062e-06
Sub26	2.60709249614287e-05	0.240789549524292	2.72528125520873e-05	0.290636055310714	0.236970875309686	0.006138883308825	1.67617938565023e-06	0.0174582832777838	1.85930303681208e-06	0.102233728813134	0.0409925536956568	0.0127721047516272	0.0003274720467207	0.051623634741625
Sub27	0.0122665794997884	0.28850851998852	9.14190520530888e-05	0.215938888171417	0.246654002986448	0.0434589636893675	0.0014870646008664	0.001665709597601	1.96395420862799e-06	0.11165357970882	0.062363168305135	0.0018791976444362	0.0003617453781671	0.0136691974231723
Sub28	0.0032722766564893	0.381193902110333	4.98197230060377e-07	0.278370318634802	0.113967671029419	0.0156781387417418	1.18450602943648e-06	0.0018744405625417	7.15190038021848e-07	0.105808984904893	0.0298974585194017	0.0226964959450612	0.000417319800116	0.0468205952019038
Sub29	0.009151266945767	0.468724865419802	0.0024116425602595	0.180907358359573	0.0527706748427534	0.0022719735709787	1.58440267701087e-06	0.0770115699781997	8.93055126904786e-07	0.0949870900823478	0.055367353025729	0.0160197781510403	0.000459543394241	0.0399144062115053
Sub30	0.0115409619773053	0.594643129786758	0.0007852369563933	0.118280451932626	0.0645243844818465	0.0461598596770396	0.003194284629601	1.35209221165906e-05	2.33659212812603e-06	0.120709133681365	0.0262126939680066	0.0085309372255481	0.0001724064540114	0.0052306617152539
Sub31	0.0044037513731438	0.366375857356662	0.0003065507769793	0.288011060912776	0.0868290367431617	0.0125529073109088	2.23138680102837e-06	8.09972084952888e-05	1.40637239142189e-06	0.100967985839335	0.0802244499098135	0.0156485049291613	0.0002096277966167	0.0443856320837549
Sub32	0.0073425826982043	0.220309270758045	0.0016774917260876	0.205764679868214	0.208521600030808	0.0037727610408777	0.0085349529193061	0.0009221777041455	1.11586280816674e-06	0.255045318330906	0.0806277149213905	0.0008129106298411	0.0009008212224137	0.0057666022869521
