	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
20232474	0.44710043	0.038449034	0.15165317	0.19549999	0.0	0.022806192	0.07393908	0.070552066
20233939	0.49166176	0.0	0.12896825	0.20324883	0.0	0.02634601	0.068426184	0.08134903
20240514	0.45420563	0.040682692	0.14696772	0.17660715	0.0	0.021714468	0.0750812	0.08474115
20242958	0.4392134	0.035373896	0.14620897	0.20828734	0.0	0.026775964	0.07457638	0.06956396
20244554	0.4653462	0.06104182	0.16513033	0.1698331	0.0	0.005045969	0.06647353	0.06712904
20249897	0.4447309	0.05376405	0.1633504	0.21658151	0.0	0.017977055	0.057188775	0.046407368
20251553	0.42079207	0.027954606	0.1371154	0.21838096	0.0	0.02644686	0.07767097	0.091639124
20252720	0.46554244	0.048864633	0.15481979	0.17224562	0.0	0.021334505	0.0690441	0.06814892
20254164	0.48979196	0.023804115	0.14386006	0.1596712	0.0	0.022449296	0.0802456	0.080177784
20254876	0.462225	0.008920984	0.13711648	0.19775128	0.0	0.019624203	0.08260672	0.09175541
20254902	0.44118437	0.014927989	0.13895111	0.22864272	0.0	0.02333913	0.07409015	0.07886462
20260284	0.48219684	0.016696239	0.13859062	0.18681926	0.0	0.02298272	0.072183065	0.0805312
20260734	0.4764497	0.0041474956	0.12365156	0.20903039	0.0	0.032417722	0.06703119	0.08727196
20261901	0.4722371	0.039096896	0.14413908	0.16044097	0.0	0.018721372	0.07709475	0.08826982
20263921	0.45247832	0.011180397	0.12376792	0.2066149	0.0	0.03567902	0.07701846	0.09326095
20264936	0.4340849	0.077313974	0.16902922	0.16405793	0.0	0.011170791	0.082684614	0.061658576
20267709	0.45684072	0.0045685857	0.12506625	0.17417417	0.009991738	0.013195507	0.09535527	0.1208078
20270768	0.45319253	0.05677945	0.16509074	0.1686976	0.0	0.0019854268	0.07639626	0.077857904
20270920	0.4351445	0.08402606	0.17282857	0.17813063	0.0	0.0060746167	0.066198625	0.057596948
20271359	0.40966988	0.07540546	0.16317238	0.19531852	0.0	0.016036432	0.07264776	0.06774953
20275399	0.4649831	0.028352927	0.14418438	0.19739376	0.0	0.02272134	0.07111386	0.071250625
20280666	0.48935926	0.030263463	0.14684805	0.16491732	0.0	0.0122737195	0.07271627	0.08362195
20297791	0.44791308	0.046528712	0.1444024	0.17765242	0.0	0.026397148	0.080564596	0.07654162
20299973	0.42734954	0.030001063	0.14424737	0.20428005	0.0	0.014187011	0.08908805	0.09084692
20311676	0.44190794	0.040792093	0.14911686	0.19576685	0.0	0.021502666	0.0796272	0.0712864
20344143	0.44154087	0.033791274	0.15021504	0.18682675	0.0019034221	0.009285341	0.082769714	0.0936676
20358955	0.43239358	0.07430923	0.17346872	0.18459824	0.0	0.0041442015	0.0748074	0.05627857
20365116	0.47210953	0.0007578021	0.13475794	0.17262618	0.023527574	0.009704941	0.083442725	0.103073284
20376029	0.4582287	0.0137938205	0.14086504	0.1741088	0.020664595	0.014174091	0.082255706	0.09590926
