	acinar	ductal	delta	activated_stellate	alpha	beta	epsilon	gamma	endothelial	quiescent_stellate	macrophage	schwann	mast	t_cell
Sub49	3.51663435593113e-07	0.0357465200005782	1.16240523493619e-06	0.048361762548496	0.279678846944857	0.562502889125009	0.0250975821963722	8.3809228209712e-07	0.0359156455760613	0.0056389147628007	0.0005526269648	8.09017800226286e-05	0.0064123085813242	9.6493587266343e-06
Sub50	0.0104973509205852	0.0155482074674531	1.88685196751009e-05	0.0567323533793612	0.257901600367759	0.488743805506803	0.004790893767824	1.00466924517844e-06	0.0806844757357133	0.0623428768190411	0.0024440676987163	0.0055164182361056	0.0147721303116238	5.94660009378875e-06
Sub51	0.0227678516857388	0.0467394571195148	0.0031061900929613	0.0550783805381034	0.320617859313601	0.414868954415519	0.0006308946563865	0.0005475703134517	0.0705010109532072	0.0350703015168876	0.0020916944170422	0.0130977625852986	0.0148322584205807	4.98139717078301e-05
Sub52	0.0858184344893324	0.010718903715657	0.0378126991002041	0.003972164705922	0.341948074040097	0.43576335000446	0.0011265444067104	0.0017897956620058	0.0366344923541914	0.0174196435451069	0.0006512809181593	0.0081285739853854	0.0181824586466377	3.35844261301178e-05
Sub53	0.107706687506107	4.57990881776221e-05	7.62536283051196e-07	0.126243129708804	0.469345741520092	0.198636382169607	1.39228908065855e-06	0.0046801022935496	0.0780249564549065	0.0002774476212938	0.001006055534441	0.0002851661982465	0.0136775353416408	6.88417377692216e-05
Sub54	0.0733000369134072	0.0463297953660157	0.0041997302344233	0.0726451667346476	0.287600785822764	0.377108461263546	4.2951282297468e-05	0.0016676280258718	0.0867778300100835	0.0320296603226327	0.0016978465399807	0.0079335749700985	0.0085061760685589	0.0001603564456723
Sub55	0.11057900495517	0.0249127528884212	0.0030885709664602	0.0334044483068458	0.481345427099896	0.241788072532131	0.0013325979239687	0.0142830275739983	0.0420353337052075	0.0298104953248047	0.0041866006293884	0.0053615975213998	0.0077662841658318	0.0001057864064762
Sub56	0.0310259551202382	4.15831628173404e-07	2.45161124871522e-07	0.0885965437412855	0.638262692790063	0.130317068041611	8.94339021648135e-07	0.0007729197281676	0.0605018123315485	0.0254271064061911	0.002404254488517	0.0005911332632619	0.021739372692427	0.0003595860649145
Sub57	0.0078407051958652	0.030696429955704	2.07039037045385e-06	0.115593963693083	0.327691600200888	0.418711153016546	0.0036888004739995	2.06756001621716e-06	0.0512586074376014	0.0293472535698284	0.0048521476122448	0.0005744571066373	0.009665335304832	7.54084823836612e-05
Sub58	0.0178383873999595	0.0582860250886163	0.0077460940969634	0.018687984263572	0.271337073314744	0.486615137271627	0.0083069413084335	0.0023696695545157	0.0778351130887727	0.0253827089975067	0.0003001359532491	0.011077962980616	0.0142121419593696	4.62472205502018e-06
Sub59	0.0612820670893288	0.0400385565277296	0.0047719777600005	0.0664966255721612	0.424552429876725	0.303552803955554	0.0035454264485713	0.0069636929832812	0.0651386108672796	0.0106850862559921	0.0033620930921909	0.0009566174014507	0.0086417722604702	1.22399092653208e-05
