Mixture	ductal	acinar	delta	alpha	beta	gamma	endothelial	P-value	Correlation	RMSE
Sub28	0.250628053675253	0.0995278589074846	0	0.527188979994502	0.103370313191425	0	0.0192847942313346	0	0.970505043583929	0.246391218976078
Sub29	0.104409573927391	0.0303278046547565	0.0247089205293985	0.591305427957588	0.199524145506369	0.0153396700508273	0.034384457373669	0	0.984924037290195	0.221441544387861
Sub30	0.0865383657841391	0.0501837084741162	0.000597401041428807	0.506960141351988	0.303181960921539	0.0371619962226897	0.0153764262040989	0	0.982268507838285	0.187552493171894
Sub31	0.235738320438392	0.128531206360424	0	0.208578913435269	0.19880508569113	0.171829570549098	0.0565169035256871	0	0.933840911835127	0.549274954375473
Sub32	0.161032578562103	0.27631262971629	0.00466686316441535	0.305201492892214	0.0287173828610137	0.112158860093057	0.111910192710906	0	0.974370009406443	0.331333387376138
Sub33	0.0613177767852643	0.0830978010639276	0.0355337175276847	0.434887174687575	0.263181413569602	0.0606927338412942	0.0612893825246527	0	0.980861465891443	0.22584902928402
Sub34	0.017059004122436	0.155318946394165	0.0294403088264154	0.503638870279753	0.261739609785635	0	0.0328032605915965	0	0.982188582199537	0.188616659685995
Sub35	0.243376947562987	0.353829746278012	0	0.0821499312794768	0.0547254502434735	0.210220119436213	0.0556978051998376	0	0.925780407040182	0.532078564741706
Sub36	0.282382186484179	0.388015920865096	0.0166816208141276	0.224516595784776	0.0800577423681593	0	0.00834593368366192	0	0.977044044699676	0.337046618055651
Sub37	0.105091324498197	0.0497925115084575	0.0218022145724426	0.758840285225819	0.053298232209911	0	0.0111754319851722	0	0.983537796898474	0.466203015212621
Sub38	0.0113831473543969	0.0159263184439797	0.0548210931925885	0.296007108177209	0.498678165469198	0.0974803248621807	0.0257038425004475	0	0.963314558804728	0.405878697402398
Sub39	0.055861897306478	0.224106767144948	0.0491791203745257	0.108874591390611	0.351213340764577	0.184326362513533	0.0264379205053269	0	0.824742445496841	0.667254589653854
