	OPC	Excitatory	Astrocytes	Microglia	Endothelial	Inhibitory	Oligo
E-19639	0.0037968029800000006	0.6903249199999999	0.12331310199999998	0.00924541704	0.06730088819999999	0.080376806	0.025642070519999997
E-19663	0.00954385332	0.48806391800000004	0.17435816799999998	0.019079714079999997	0.11428543040000001	0.08629590899999999	0.1083730647
E-24635	0.0104778876	0.5082679	0.17778890400000003	0.020845739359999997	0.12383351819999999	0.0779968962	0.0807891507
F-10242	0.009567916860000001	0.42867073400000005	0.196243356	0.021152244879999997	0.13081030600000002	0.11768026520000001	0.0958751622
F-15611	0.00502352862	0.53327533	0.17650181199999998	0.0129187996	0.0911997106	0.1215058408	0.0595750044
F-15621	0.00681235912	0.47413670999999996	0.1795675778	0.014755608120000003	0.10141751800000001	0.1503498368	0.07296038646
F-15626	0.01088545068	0.5159710399999999	0.15634474	0.0177292374	0.0934635186	0.1124036454	0.0932023106
F-15669	0.009574945560000001	0.49614726200000003	0.164458899	0.0161500673	0.1455084416	0.09749158	0.07066883652
F-16253	0.0070317381200000004	0.51001803	0.163679462	0.0185003292	0.10343665720000002	0.1299197736	0.06741403148
F-16307	0.007134297119999999	0.625485866	0.115475569	0.0192542862	0.0986120552	0.0706715292	0.06336640473999999
F-16317	0.01335955412	0.278627636	0.265715124	0.028283969800000003	0.17620869740000003	0.0705844836	0.16722051779999997
F-21801	0.01068642294	0.395638244	0.20015236300000003	0.023976737999999997	0.122821288	0.10702308820000002	0.1397018562
F-30139	0.007727765860000001	0.551041484	0.16223568	0.01952056808	0.1122206488	0.0803596298	0.06689423552
F-30886	0.014221129899999999	0.379350008	0.22617162	0.0259295752	0.1474619976	0.07654956519999999	0.13031609979999997
F-32590	0.0075583487	0.5708205919999999	0.156489456	0.01698082166	0.10738180739999999	0.08882346240000001	0.051945508439999996
G-10007	0.009328283	0.5133537539999999	0.182033034	0.018678686320000002	0.0959207414	0.11580543080000001	0.064880068
G-11021	0.0056785766399999995	0.638950186	0.14164924900000003	0.012697610680000002	0.0722766182	0.09921047000000001	0.029537302100000003
G-11044	0.00713164112	0.645926412	0.11588480999999999	0.01424029886	0.0684638558	0.10144347599999999	0.04690949718
G-11082	0.0123900628	0.38586975400000006	0.215763383	0.027420545400000003	0.1365093554	0.09304190300000001	0.1290049666
G-11090	0.00398184448	0.6325438099999999	0.13893336679999999	0.012032641600000001	0.071286881	0.10529247239999999	0.03592899894
G-11114	0.007259729800000001	0.47290870199999996	0.20311444	0.0198387509	0.12367558120000002	0.092498332	0.080704436
G-12088	0.009415848899999999	0.43994363000000003	0.20031166679999995	0.020001908120000002	0.13594889300000002	0.0830786084	0.11129942079999999
G-15087	0.010255635099999999	0.495357964	0.16886364	0.021943122599999997	0.11339064699999998	0.09100400919999999	0.09918498140000001
H-0C046	0.01184893838	0.41083702000000005	0.218989106	0.0253185211	0.1416799842	0.0966367912	0.094689651
H-0C048	0.007211503839999999	0.44004973999999997	0.20081279	0.016391346140000002	0.10826598359999999	0.16243128680000002	0.0648373679
H-0C072	0.0113205649	0.407922208	0.210636374	0.0281055618	0.1451104396	0.0719507884	0.1249540912
H-0C083	0.01044331268	0.317674924	0.257706183	0.0323979866	0.160552989	0.0733834604	0.14784116919999998
H-0C084	0.01175437426	0.42924376200000003	0.21902016600000002	0.023489314	0.12451691139999999	0.104680518	0.0872949626
H-0C085	0.007789973420000001	0.39678209999999997	0.211339644	0.023234619739999997	0.12809354199999998	0.1492349174	0.0835251723
H-0C096	0.0138074276	0.345943392	0.22788949599999997	0.028876046499999995	0.14453586999999998	0.1225012254	0.11644655159999999
H-0C730	0.009676047520000002	0.429704484	0.21179790199999998	0.023270420999999996	0.1367519008	0.0821442208	0.1066550044
H-DC005	0.01114179302	0.45739896199999996	0.1777565392	0.022903042899999997	0.1422915866	0.0805496376	0.10795844460000001
H-DC022	0.011461779	0.453690042	0.18219862080000002	0.023951655	0.1464069744	0.0899320992	0.09235884819999998
H-DC023	0.00851153614	0.48725687000000006	0.176984638	0.0182508506	0.120000379	0.123226646	0.06576905888000001
H-DC027	0.0126787176	0.37406688599999993	0.22667891200000004	0.026238659399999996	0.14837844679999998	0.0944820482	0.11747633359999998
H-DC029	0.00957376534	0.429365824	0.20198216100000002	0.0214636661	0.14311463060000001	0.10911577260000001	0.08538419489999999
H-DC040	0.0060444531000000004	0.38968586600000005	0.2243547232	0.01802271072	0.1577695812	0.0897600892	0.11436256660000002
H-DC092	0.00834521496	0.35042104199999996	0.23374097600000004	0.026720329199999997	0.150075468	0.104721047	0.12597591800000002
H-DC107	0.0076257615	0.36810245799999997	0.24432907000000004	0.0226644	0.1524553936	0.07846340160000001	0.1263595246
H-DC110	0.01041652848	0.427352958	0.195670973	0.020450011339999997	0.1560352784	0.088807507	0.10126673820000001
H-DC112	0.007873085980000001	0.522583398	0.17816819	0.019000958800000002	0.09351219959999998	0.12266163319999998	0.056200507200000006
