	Astrocytes	Oligo	Excitatory	Microglia	OPC	Inhibitory	Endothelial
F.10242	0	0.010941012842039	0.0	0.303248927192069	0	0.161289862156826	0.524520197809065
F.15611	0	0.0141274684276862	0.0	0.292847012856102	0	0.165216088360141	0.52780943035607
F.15621	0	0.0095130344113932	0.0	0.305855016736271	0	0.165274818876602	0.519357129975734
F.15626	0	0.010687304545215	0.0	0.292889671967218	0	0.172477146582919	0.523945876904647
F.15669	0	0.0111320384817338	0.0	0.28655270769852	0	0.165202361229757	0.53711289258999
F.16253	0	0.0080739869375841	0.0	0.305941778217627	0	0.158548984174502	0.527435250670288
F.16307	0	0.009941487977852	0.0	0.279785113144785	0	0.169016055540455	0.541257343336908
F.16317	0	0.015449822644039	0.0	0.270034529701128	0	0.171719966364017	0.542795681290815
F.21801	0	0.0146320832938607	0.0	0.306159320329965	0	0.155264137566982	0.523944458809192
F.30139	0	0.0133191802342215	0.0	0.288844023922186	0	0.173134873862261	0.524701921981331
F.30886	0	0.015012487219111	0.0	0.287013245849361	0	0.158841748982593	0.539132517948935
F.32590	0	0.007808713610952	0.0	0.294371293684995	0	0.168937992231995	0.528882000472058
G.10007	0	0.009718069742671	0.0	0.310206909617464	0	0.15187280571293	0.528202214926935
G.11021	0	0.009776737844096	0.0	0.303912638406675	0	0.165946883545942	0.520363740203287
G.11044	0	0.0071133596985356	0.0	0.315426881519846	0	0.158136636881592	0.519323121900027
G.11082	0	0.0172630244717067	0.0	0.292565710963	0	0.165737930163886	0.524433334401407
G.11090	0	0.0091623451471318	0.0	0.300687743014523	0	0.160937111779605	0.52921280005874
G.11114	0	0.0119100493154094	0.0	0.305484926861028	0	0.157317617449456	0.525287406374106
G.12088	0	0.0144111723218498	0.0	0.299543708000391	0	0.165510178313936	0.520534941363823
G.15087	0	0.0125291645085042	0.0	0.305209132473436	0	0.15867996918634	0.52358173383172
H.0C046	0	0.0126721555292314	0.0	0.281326794807187	0	0.164737294276733	0.541263755386849
H.0C048	0	0.0101278125414541	0.0	0.30755075651365	0	0.153340154874289	0.528981276070608
H.0C072	0	0.015064812511573	0.0	0.336810796540825	0	0.154839498613954	0.493284892333647
H.0C083	0	0.0127169754592921	0.0	0.305448914850674	0	0.160782184042036	0.521051925647999
H.0C084	0	0.013426958965646	0.0	0.308409681091133	0	0.159348214378204	0.518815145565017
H.0C085	0	0.011232679055334	0.0	0.278088953938569	0	0.165314588894707	0.54536377811139
H.0C096	0	0.0125572188887125	0.0	0.280969113101064	0	0.168293756859326	0.538179911150897
H.0C730	0	0.0133785521178316	0.0	0.277908381975062	0	0.167881388955564	0.540831676951542
H.DC005	0	0.0150237884499261	0.0	0.293452752692134	0	0.164987125517507	0.526536333340433
H.DC022	0	0.0105178252091641	0.0	0.31010388594441	0	0.155831368269363	0.523546920577063
H.DC023	0	0.0106439196579484	0.0	0.287861872677307	0	0.166508941441527	0.534985266223218
