	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub62	0.0114375743799748	0.549335346038764	0.0061358159201631	0.117973162345525	0.0159554246640948	0.0825350858535253	7.03686336152159e-07	1.44330087906698e-05	0.0003547930214609	0.124671164494538	0.0320243060421645	0.0527681005754638	0.0006918957363521	0.0061021942328462
Sub63	0.0093904316617616	0.494431257036186	1.30127792198974e-06	0.0780793588727775	0.038139296164669	0.0863758801573593	2.36425353383337e-06	0.0015529042479455	4.16093065164769e-06	0.12501885911235	0.0718453766784919	0.0612595479006305	0.0003165283061088	0.0335827333996122
Sub64	4.39162483766633e-05	0.390375716883757	0.0033484558504975	0.129078922896357	0.0801781098302462	0.0564369230171012	1.06523892218758e-05	0.0258201206809495	6.78587670245097e-07	0.107106099623536	0.112423961437619	0.0598593991188553	0.0001088503991705	0.0352081930366419
Sub65	0.0053390359166376	0.238323459412028	0.0887800614123427	0.285396024752482	0.0866086293359056	0.0179308016678578	0.0001802628670921	0.0044818246168924	0.0009510970845019	0.146581852353538	0.0826423182847516	0.0295250261028949	0.0020055312726635	0.0112540749204121
Sub66	0.0114236664866517	0.234541612260636	0.0209134210955696	0.28722629725255	0.0732433102999787	0.104145258516411	0.0002276580037691	0.0081924255236083	1.56848764196539e-06	0.0958839884242292	0.10188117696486	0.0406966014775067	0.0006994028141879	0.0209236123923991
Sub67	0.0025845350694467	0.277161078406742	0.00353376442616	0.23671779837483	0.175570691980194	0.057125728919607	8.30783442421644e-07	0.0024945268394967	6.41939730548746e-06	0.0975479159448187	0.0709879651047491	0.0586677297297871	0.0004376162749111	0.0171633987485094
Sub68	0.0192057782203496	0.366625225433288	0.0128194179826938	0.120819003958534	0.0721310070313747	0.109473253985163	6.55742820701171e-07	0.0057525769650966	5.96510203434376e-05	0.155416679880018	0.0854733265961502	0.0452206820330179	0.000519705270114	0.006483035881036
Sub69	0.0289638609936454	0.457400252771918	0.0026320608832385	0.136360341551487	0.0518113886918273	0.124975950624899	6.15747816409051e-07	3.0533771838639e-06	4.93713436438656e-07	0.0683365031882772	0.0628109088023385	0.0554895762739001	5.05633497839409e-05	0.0111644300302475
Sub70	0.0039944204066604	0.300086374502446	0.0046102944879732	0.255852310876896	0.106861888353341	0.0287342249420527	8.66152365285588e-07	0.003321542727535	0.0001755037552343	0.188873248589918	0.0513113083666036	0.0482783883299436	0.0011475972425758	0.0067520312664548
Sub71	0.0080550409494716	0.380275687542735	0.0007221141339184	0.354077501882144	0.111059524294747	0.0357028926800907	9.62264259016646e-07	2.07972291921596e-06	4.77053444658309e-07	0.0342898038257878	0.0096582370523546	0.0570273827760363	5.06868344566818e-05	0.0090776089876354
Sub72	0.0068426206134766	0.412119216161081	0.0058541785711018	0.0959736802147735	0.0092852913501571	0.176032467088346	5.12504464342207e-05	5.78381337658401e-06	9.02095858490004e-05	0.17244340082412	0.0608402857820376	0.0497662006295712	0.0003910772735983	0.0103043376460775
Sub73	0.0069624648601538	0.446406556403745	0.0043010714456339	0.291149101381823	0.0589950406035466	0.0156289659579659	1.03955620679565e-06	5.32229328932347e-05	1.23274738949144e-06	0.095427205482711	0.0320761859321949	0.0436568813662872	0.0001997769730172	0.0051412543564319
Sub74	0.00169554266923	0.159516866197724	0.0029640987756169	0.479413579355908	0.212825981926793	0.0011814949785904	8.59525868467741e-07	0.0013129237393029	6.25048809752878e-06	0.082193117584698	0.0300736385649373	0.0246861662705021	0.0001782768234715	0.003951203099259
Sub75	0.0040297592181892	0.266981951166059	0.0054009508778918	0.377612117452443	0.0170484519911461	0.0373298854373095	1.33822188845334e-06	1.02611609564339e-05	0.0001544625641896	0.182416138931195	0.047418979649641	0.0488751094831993	0.0007628009087988	0.0119577929370919
