	Inhibitory	Excitatory	Oligodendrocyte	Astrocyte	OPC	Microglia	Endothelial	VLMC	Pericyte
16513683	0.0027708958963827	0.283951250799749	0.191708342594544	0.241210861053933	0.0002085348263667	0.0720453414724365	0.0300912820045019	0.0006795041940991	0.177333987157988
17219510	0.0244638176804448	0.258944152291889	0.163160201093101	0.276708283165403	3.70349576390346e-05	0.0668324964918939	0.0274751110628176	9.93333037778218e-05	0.182279569953033
17929065	0.0747126284734395	0.326514872173692	0.166851248644802	0.172891450424128	0.00016161920058	0.0546800527437746	0.0327157195066706	0.0005652504584611	0.170907158374453
18414513	0.0339366732222718	0.276413207689711	0.175957307859297	0.273967574648704	0.0001077702569037	0.0456836356686641	0.0193744502332922	0.0002052870315054	0.17435409338965
20102505	0.0389119086267832	0.311153638969196	0.220903575905212	0.206512380783847	0.0036405423123839	0.0496705822790293	0.0148053147714	0.0007244782834916	0.153677578068657
20104101	0.0086125940750566	0.279096092321035	0.176247888031557	0.260687582222861	0.0005518097334814	0.0585945033897418	0.0327588566478903	0.0003972487455392	0.183053424832837
20105242	0.0670921155000363	0.358617895170249	0.149378539638493	0.172214147824402	0.010079461540289	0.043856567374263	0.0247118181125498	0.0003399738627097	0.173709480977009
20115276	0.0520086375960819	0.323541076207581	0.142079083979244	0.226260942179521	0.0003231962969141	0.047122081044698	0.0253629255927743	0.0002532594656027	0.183048797637582
20120255	0.0576049901509275	0.376896313233709	0.171400353863739	0.158954500039999	0.0002601264099794	0.0546906938440573	0.0138548797268428	0.0003380037441069	0.166000138986639
20124321	0.0462599299033508	0.292868345269929	0.187219649890583	0.233855512394763	0.0004942892488141	0.0428663139532763	0.0231843781471121	0.0002623953942183	0.172989185797953
20139562	0.0335709423243136	0.276075982392949	0.171077450040801	0.271635709757928	0.0007846808618244	0.0519504875456895	0.0228361186237646	0.0002913326072007	0.171777295845529
20139850	0.0996626198978539	0.33840875362635	0.13699279385289	0.195427556746182	0.0002157835092017	0.0477193241488802	0.0148049499027635	0.0001130012903646	0.166655217025514
20143248	0.0100257050924947	0.270413041271943	0.251089774966168	0.202548857492813	0.0079101930350501	0.0460475064926583	0.0354526407456165	0.001696289944973	0.174815990958284
20147026	0.126087584884548	0.377697516464853	0.135391564026075	0.162371498316323	0.00016095662345	0.0438037890433548	0.0111583887331353	6.71852577185008e-05	0.143261516650543
20147440	0.0375261241992282	0.296799664566543	0.18821315068114	0.260575540180495	0.0003670567128208	0.0464554435095655	0.0154898292742721	0.0008653020621874	0.153707888813747
20148879	0.0786262220324396	0.357817452661158	0.155276144745887	0.188249770472779	0.0003322767299392	0.0450337212327268	0.0139420852630235	0.0002969630319676	0.160425363830079
20149910	0.0510693508610666	0.329831751947623	0.13818994774667	0.211609740190463	0.0019393486667773	0.0622651528808057	0.0176758640004764	0.0007123177753815	0.186706525930737
20151388	0.0381383970277237	0.288165927381921	0.20425065867165	0.264826897368156	9.83351571182054e-05	0.0283565838994392	0.0208302114170557	0.0001294300664533	0.155203559010484
20152393	0.0807403688248186	0.358981212934487	0.180707404793649	0.168383808001753	0.0001760097116042	0.0324914326389783	0.0173391669827208	0.0001179980654998	0.161062598046489
20154287	0.0368285673963035	0.326843888541984	0.167922241946068	0.19262352030056	0.0001624044806547	0.0672493303920514	0.0227850997465949	0.0001359578248342	0.185448989370949
20156469	0.0293602650856681	0.266696560050781	0.187326790103951	0.236594180891339	9.30976851470816e-05	0.0749960682445825	0.0242478392685107	0.0010455065380842	0.179639692131937
20171508	0.0669894372387885	0.31919367528548	0.179480191665268	0.203730407359526	0.0001497020417526	0.0481156258009232	0.0207686806696336	0.0006078046334378	0.16096447530519
20173942	0.0606170093460926	0.339471064344988	0.180519216415802	0.160539469592558	0.0001206094990859	0.0575918032412936	0.0242248367292978	0.0002171341652807	0.176698856665602
20174533	0.0007248099859637	0.24369102960339	0.196450747603208	0.287878045326709	0.002897317780335	0.0553347518265275	0.0236813623839375	0.0004918947985334	0.188850040691396
20177982	0.0817591498828905	0.327359038602905	0.197352800001652	0.149976727293753	0.0001614432051294	0.0566550226114437	0.0170926183516654	0.0004421910897579	0.169201008960803
20178447	0.0346281821878826	0.297218541168594	0.185844020730382	0.189134496560359	0.0002685246032723	0.0849911507897527	0.0282294130505141	0.0001799706314598	0.179505700277783
20179164	0.0512765563738887	0.289738064844173	0.142292712444965	0.279901277943248	0.0003127718928691	0.0407774426405638	0.0224423337495243	0.000100533060334	0.173158307050434
20185860	0.165479529342974	0.32380522844131	0.133128488941074	0.170497841115098	7.32759324171206e-05	0.0492094152356468	0.0104420934928427	6.2032834423672e-05	0.147302094664213
20187042	0.0596209284909932	0.31877635508548	0.171269565233153	0.227610240991238	0.0002355393700149	0.0436611857265855	0.016005836543227	0.0001111926405484	0.162709155918761
20195344	0.0395473766254811	0.293048896151548	0.228790408932297	0.210329920000866	0.0011593421106379	0.0423370786095748	0.0194435818056098	0.0001769380645272	0.165166457699458
20197364	0.0605553556310728	0.318086969246969	0.169548210859563	0.177000911717688	0.0011977946587266	0.0572562890922549	0.0266022186866403	0.0011483664030325	0.188603883704052
20201189	0.0311895661944163	0.277557924791457	0.170925747608766	0.219442737913646	0.0001142503143681	0.0958923154596748	0.0248076273045954	0.000425678244727	0.17964415216835
20201927	0.0404143445289276	0.314626544079146	0.156697065553777	0.225800941661103	0.0001104477734064	0.0598826464611751	0.0359611444992401	0.000175104760819	0.166331760682405
20204538	0.0770346080847574	0.315120540375703	0.159323135430264	0.222886654457152	6.29672809602775e-05	0.0490035558981335	0.0135312082754518	0.0002807389261787	0.162756591271399
20205705	0.0402514830781278	0.301336881114755	0.206660155112909	0.218857074347173	0.0002494609900247	0.0310152103358539	0.0210356751583727	0.0003214860622387	0.180272573800545
20207013	0.0059163998794574	0.286368536970619	0.191533904576873	0.248859664957133	0.0127084906645085	0.0457398163319055	0.0266169075906142	0.0005854091128653	0.181670869916024
20221273	0.145300746572586	0.280221996407688	0.166244443079181	0.204834772524808	3.95476553657094e-05	0.0445138147720785	0.0121341065185631	5.15014168590889e-05	0.14665907105287
20225925	0.145006526636673	0.363698586884612	0.164857624940156	0.136519155586914	0.0003325969204188	0.0321884284700329	0.0119466886778522	4.56803934181535e-05	0.145404711489922
20232474	0.0413467901724918	0.323494083433635	0.17826011027645	0.211635584958996	0.0014705832575019	0.0565628948676945	0.0144368701857193	0.0001476401458683	0.172645442701643
20233939	0.0003886451145996	0.219310835914583	0.210683895122944	0.314902254673952	0.0046299794841349	0.0498976820236724	0.0231386198932949	0.0002330800793558	0.176815007693463
