	beta	alpha	gamma	delta
Sub58	0.439409244	0.414946096	0.073042416	0.072602254
Sub59	0.47280075200000005	0.37833453200000006	0.0829556682	0.06590907260000001
Sub60	0.37211581000000005	0.447969758	0.07964695000000001	0.10026747620000001
Sub61	0.36343221	0.47858489400000004	0.078351068	0.079631849
Sub62	0.42259741799999995	0.48759077799999995	0.0452798044	0.0445319358
Sub63	0.496802574	0.4025981639999999	0.0426948584	0.0579043926
Sub64	0.495818494	0.374877436	0.055525387999999995	0.07377867680000001
Sub65	0.25003960599999997	0.536707826	0.145040314	0.0682122406
Sub66	0.5654869920000001	0.287020892	0.071601298	0.0758907932
Sub67	0.463790528	0.41493051000000003	0.0576308772	0.063648073
Sub68	0.515918608	0.345704714	0.07249133919999999	0.0658853602
Sub69	0.5347176680000001	0.342603922	0.053394187999999995	0.06928423079999999
Sub70	0.420407034	0.466707396	0.0510205656	0.0618649926
Sub71	0.388099038	0.47797734	0.05911359940000001	0.07480998400000001
Sub72	0.67205102	0.24116069600000004	0.049902453199999995	0.0368857848
Sub73	0.30671506800000004	0.570249946	0.0638780176	0.0591569624
Sub74	0.24812430600000002	0.6001775859999999	0.07657110999999998	0.07512700339999999
Sub75	0.43938689599999997	0.43142150799999995	0.0612734296	0.06791816120000001
Sub76	0.493813866	0.355300042	0.0748013762	0.0760847234
Sub77	0.39663740000000003	0.47420915199999997	0.067580943	0.061572471799999993
Sub78	0.487041708	0.39544626800000005	0.06699506920000001	0.0505169464
Sub79	0.396419924	0.476885168	0.0583535414	0.0683413912
Sub80	0.38197068999999995	0.481081994	0.0568358586	0.080111435
Sub81	0.540993538	0.34684973399999997	0.059485340799999994	0.052671370800000006
Sub82	0.35457573400000003	0.458982986	0.0910786398	0.095362639
Sub83	0.38624894800000004	0.49208913199999993	0.048340111000000005	0.07332184759999999
Sub84	0.47100848399999995	0.40952146999999994	0.049059911	0.070410138
Sub85	0.41811429800000005	0.45126626999999997	0.0564978372	0.07412158399999999
Sub86	0.41876908	0.47240171000000003	0.0461544498	0.0626747624
Sub87	0.274570262	0.584660084	0.07077284000000002	0.0699967882
Sub88	0.4078575099999999	0.435531252	0.074691043	0.0819202118
Sub89	0.476409744	0.414936984	0.0530339502	0.0556193112
