Mixture	beta	alpha	delta	gamma	P-value	Correlation	RMSE
Sub61	0.476979870631115	0.437997199535526	0.0415008664627245	0.0435220633706348	0	0.892052499905007	0.45368094175284
Sub62	0.22899962348382	0.76450741294329	0.0064929635728903	0	0	0.987560844773666	0.439251416779915
Sub63	0.359308963931403	0.632845082893582	0.00784595317501516	0	0	0.98819137757147	0.244560974887262
Sub64	0.215213008580217	0.569989763959522	0	0.214797227460261	0	0.991310308977004	0.149068828359243
Sub65	0.199801438820094	0.186050163044846	0	0.61414839813506	0	0.981595673608703	0.589218418242804
Sub66	0.701505638475564	0.087033409440703	0.0697811189913713	0.141679833092362	0	0.949665145669047	0.734861020124303
Sub67	0.723292309210234	0.271533751679856	0	0.00517393910990997	0	0.880265683537507	0.559609770467271
Sub68	0.571124453622595	0.332220641778484	0.0701549061179417	0.0264999984809795	0	0.991439710981671	0.339408949372925
Sub69	0.436808517302064	0.452694828652523	0.110496654045412	0	0	0.990446145932276	0.178398170346539
Sub70	0.540074866897663	0.45803743618548	0.00188769691685639	0	0	0.988465708190017	0.181023735772449
Sub71	0.464777132875518	0.525944869890544	0.00927799723393783	0	0	0.978782910072145	0.206210847999788
Sub72	0.585528058640888	0.401697611052658	0.00831626641986852	0.00445806388658621	0	0.987892752912715	0.246948950850775
Sub73	0.263786365688829	0.73247408364141	0.0032876597319674	0.000451890937793657	0	0.991046837972416	0.377946643850149
Sub74	0.393085598709048	0.460128342547432	0	0.14678605874352	0	0.945683389782855	0.331041558322304
Sub75	0.703063479362012	0.27307042041886	0.00579374503882219	0.0180723551803054	0	0.953615921068145	0.476300054464968
Sub76	0.377116732615959	0.499791990938132	0.110447811033378	0.0126434654125308	0	0.993959259350013	0.117096182854362
Sub77	0.374363330748782	0.588346224663008	0.0314926439071863	0.00579780068102347	0	0.990682906357105	0.176675031340583
Sub78	0.283260158232725	0.673792719203513	0.0429471225637614	0	0	0.987980213197445	0.299682309626341
Sub79	0.189843547996256	0.725767220924235	0.00555173533299299	0.0788374957465167	0	0.986078390370784	0.38023369542664
Sub80	0.424158714995874	0.563793175701506	0.00522149166371767	0.0068266176389025	0	0.938408652767102	0.367523058448559
Sub81	0.511748640403233	0.472595821661004	0.0156555379357632	0	0	0.969040612685528	0.25329009224262
Sub82	0.500189092489483	0.158653087368083	0.123366834865103	0.21779098527733	0	0.708597369210328	0.77228812386701
Sub83	0.4927500496956	0.5072499503044	0	0	0	0.947144724098493	0.321660252950751
Sub84	0.727706826617811	0.270709839171935	0.00158333421025396	0	0	0.950567845020455	0.481623672807799
Sub85	0.487586877736875	0.505919713149703	0.00649340911342208	0	0	0.979001178991768	0.20420919040269
Sub86	0.471275917074964	0.505260372449789	0.00459114023223506	0.0188725702430121	0	0.99053703745271	0.139596322041879
Sub87	0.283694075811962	0.452579828707966	0.0403765992196572	0.223349496260415	0	0.993204005545342	0.174101043367485
Sub88	0.267386833228699	0.59995576357999	0.0320125712941572	0.100644831897154	0	0.990044491688359	0.188911486986136
Sub89	0.360931696849356	0.550973093484569	0.055505951067641	0.0325892585984339	0	0.998137906257989	0.0734303602743391
