	beta	alpha	delta	gamma
Sub48	0.470387711143514	0.355207586366784	0.0659025868657272	0.108502115623975
Sub49	0.461228806132569	0.495052568111575	0.0331473106332713	0.0105713151225844
Sub50	0.45292692633788	0.4701330201719	0.0391978782594196	0.0377421752308001
Sub51	0.423781857047923	0.440766788909914	0.0565221436618427	0.07892921038032
Sub52	0.2648147136716	0.398815583379981	0.234686376552142	0.101683326396277
Sub53	0.309461255544428	0.416885667989834	0.054641862252539	0.219011214213199
Sub54	0.4067133926414	0.430731208711268	0.0736271036896265	0.0889282949577053
Sub55	0.366165644630017	0.389507912527995	0.0681668125239242	0.176159630318064
Sub56	0.417678185472259	0.439917049955319	0.0121071640512467	0.130297600521175
Sub57	0.490952699441557	0.428220306061051	0.031849623998454	0.0489773704989385
Sub58	0.413632886075365	0.445231893679952	0.079648793951905	0.061486426292778
Sub59	0.439484975586025	0.362531477619356	0.0720000408396352	0.125983505954985
Sub60	0.383195207073628	0.376958822886752	0.0934640488840695	0.146381921155551
Sub61	0.215418474192968	0.320686382198217	0.150704057293922	0.313191086314892
Sub62	0.38592213829246	0.555520468016323	0.0403246703941563	0.0182327232970607
Sub63	0.398818619090393	0.508553387443706	0.0513569155033542	0.0412710779625462
Sub64	0.420520540972308	0.460917485391204	0.0271201604002465	0.0914418132362417
Sub65	0.237747753265753	0.439095666392651	0.0377798578439301	0.285376722497666
Sub66	0.475963854347575	0.331137782195157	0.075811735483063	0.117086627974205
Sub67	0.360688252235506	0.399816177699175	0.0404778989657753	0.199017671099543
Sub68	0.482808581096022	0.378332695303837	0.087188180906796	0.0516705426933456
Sub69	0.442848010191569	0.417558532841633	0.11904239661312	0.0205510603536777
Sub70	0.426433541143482	0.477073752659696	0.0301078012596182	0.0663849049372026
Sub71	0.408472161942283	0.500469384260191	0.0413597112797855	0.0496987425177409
Sub72	0.599662444971342	0.347829140377274	0.0287728996932363	0.0237355149581478
Sub73	0.293870915582882	0.59712867869072	0.0429694901030037	0.0660309156233939
Sub74	0.374814393513968	0.493164728614222	0.0233500806115641	0.108670797260246
Sub75	0.501576427112361	0.408476210531929	0.0265313483375906	0.0634160140181192
Sub76	0.42663757883633	0.426403338555164	0.120244039062626	0.0267150435458794
Sub77	0.365141265418039	0.494870003196881	0.0436804054375497	0.0963083259475298
Sub78	0.463412429150536	0.451217197713198	0.0613799052262051	0.0239904679100615
Sub79	0.345677741877571	0.541200873467166	0.0387997164873302	0.0743216681679327
Sub80	0.339221491918648	0.559975602359306	0.0273950136670423	0.0734078920550035
Sub81	0.521417383208177	0.417182255628755	0.0417763676194476	0.0196239935436196
Sub82	0.374380579473712	0.502097544010327	0.0620777817502227	0.0614440947657385
Sub83	0.356741675347042	0.50168093982477	0.0270414273394984	0.114535957488689
Sub84	0.461431649290263	0.477643266406302	0.0249321401395543	0.035992944163881
Sub85	0.411967333614667	0.513050063598017	0.0343613064739869	0.0406212963133295
Sub86	0.415843953606529	0.515096381729505	0.0438379046907372	0.0252217599732283
Sub87	0.303296424157085	0.559833171202197	0.0433580785666849	0.0935123260740328
Sub88	0.363190021950529	0.503212910167111	0.0637176814452287	0.0698793864371302
Sub89	0.371268641360971	0.546954271262688	0.0568697030513784	0.0249073843249626
