"","alpha","beta","gamma","delta","acinar","ductal","endothelial"
"Sub39",0.11605980818639,0.251007552449726,0.0302740358106134,0.0173835128330564,0.150192032116518,0.206563668369953,0.228519390233743
"Sub40",0.0925561648942692,0.00939569034500792,0.00351689606126681,0.00102137246033071,0.564966149328012,0.16777599266926,0.160767734241853
"Sub41",0.304301472017375,0.0754491624603349,0.000710033203575729,0.00885132694866094,0.101495028278971,0.266806553061023,0.242386424030059
"Sub42",0.34309947845706,0.0207715629759112,0.00260263278316894,0.0117854333656527,0.134181056230146,0.265181732348611,0.22237810383945
"Sub43",0.590435228946228,0.00124514371153666,0,0.0112867567068901,0.0908589921601289,0.132189645539347,0.173984232935869
"Sub44",0.386891025227888,0.0125628234622222,0.000479312242565641,0.0154122611601964,0.130263746383048,0.265502294679383,0.188888536844698
"Sub45",0.528227022115302,0.113836762419527,0.00852737335531682,0.0197088198157019,0.0305896191012626,0.0879698219915204,0.211140581201369
"Sub46",0.346510144325814,0.00951010856655029,0.00235957212272125,0.00523171957824593,0.37137417560069,0.0734308683124269,0.191583411493551
"Sub47",0.187630173037207,0.177863440351604,0.00636609342398104,0.0137653787730005,0.212530727090518,0.160340425959171,0.241503761364518
"Sub48",0.36485814876216,0.278886740083502,0.0340689023954297,0.0166393455503695,0.057588088682248,0.125943089477087,0.122015685049204
"Sub49",0.730301168007856,0.0015299787639555,0,0.0061120503554465,0.0283986401090032,0.138060949975257,0.0955972127884819
"Sub50",0.590432980059382,0.00333205492539542,0,0.00575144010694991,0.0639888560243722,0.151278759512318,0.185215909371583
"Sub51",0.26452527240307,0.149357791492162,0.00171630106063171,0.00908618508501548,0.0913439115529956,0.281685989022298,0.202284549383827
"Sub52",0.306400281078539,0.12305022599962,0.00217886496277728,0.0429186404181838,0.119409130924488,0.254163187936177,0.151879668680215
"Sub53",0.148771068269427,0.0328989310215986,0.00484808804189867,0.00453957715168765,0.366643736205409,0.285264366004156,0.157034233305823
"Sub54",0.287325764161287,0.112219937272667,0.00250289497577847,0.00904383750418599,0.19487187876574,0.209654288564714,0.184381398755628
"Sub55",0.112014331501748,0.105254787412312,0.0139977002385592,0.0090396275967791,0.276331253356127,0.337807195247981,0.145555104646494
"Sub56",0.0942496659108107,0.00184578626877686,0.00175220082115838,0.000690656807064943,0.261625408559043,0.443145813092129,0.196690468541017
"Sub57",0.419820979165624,0.0344677536373863,9.69243191518537e-05,0.0047372018879908,0.0835005292881924,0.280479482343958,0.176897129357696
"Sub58",0.171698910375674,0.20332615209846,0.003579855519556,0.0152440108066303,0.0401152905327343,0.347681054020366,0.21835472664658
"Sub59",0.225072020864827,0.0799248632483471,0.00644858792609238,0.0101193245723025,0.216798099551783,0.327600473014302,0.134036630822346
"Sub60",0.178697288292959,0.00970973105749384,0.000184422052598169,0.0110725058838704,0.280827353581767,0.421583997239541,0.0979247018917696
"Sub61",0.246086854580807,0.0258583721343735,0.00398958181802964,0.00901698984847701,0.463684858862624,0.114505634573638,0.136857708182051
"Sub62",0.667174489040604,0.0403035285333599,0.00213595426846431,0.00936724775262043,0.0204729412431474,0.130469072256981,0.130076766904823
"Sub63",0.666573249004536,0.00110728506363803,0,0.00893612907567629,0.0698190481272501,0.0371931085083821,0.216371180220518
"Sub64",0.392691950024704,0.00479490144346899,0.0010582841279612,0.00361665031140272,0.145033704079735,0.119360734184057,0.333443775828672
