	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub75	0.09340166	0.25900206	0.28124198	0.088685244	0.66900593	-0.14197798	-0.1513009	-0.03621577	-0.042972755
Sub76	0.0658663	0.34101474	0.2494179	-0.029228384	0.6833219	-0.22785653	-0.19344537	-0.054890737	0.025087625
Sub77	0.009322527	0.26077485	0.29932523	0.098850995	0.58795834	-0.18561755	-0.17311965	-0.065446354	-0.025454411
Sub78	0.1253226	0.30500877	0.29022622	0.01836027	0.61874056	-0.20641436	-0.16011421	-0.0042608776	-0.019080147
Sub79	0.100230366	0.23620348	0.1929849	0.066893466	0.57851964	-0.1083709	-0.09797583	-0.035395753	0.056797314
Sub80	0.114146896	0.22570343	0.18965812	0.10112986	0.62647957	-0.12984408	-0.18987556	-0.0011143088	0.15631789
Sub81	0.11581067	0.24189807	0.21999443	-0.06394457	0.7021192	-0.17928185	-0.1800855	-0.044994492	-0.03315601
Sub82	0.08502243	0.3260937	0.2874395	0.20319284	0.4705446	-0.17632093	-0.17025733	0.077886246	0.13874324
Sub83	0.058437657	0.20768921	0.1940531	0.09406055	0.54678553	-0.12739752	-0.12787825	-0.09663568	0.14434958
Sub84	0.11100034	0.27695903	0.2122233	0.03343481	0.73504424	-0.16750878	-0.13460995	-0.0029776793	0.045207273
Sub85	0.071302034	0.26878443	0.20588331	0.167967	0.5604146	-0.14400251	-0.116172455	-0.033652764	-0.021147033
Sub86	0.12282386	0.23719704	0.1595469	0.039320022	0.61723894	-0.14022937	-0.091323875	-0.08242192	0.02632629
Sub87	0.13862585	0.28445616	0.28880808	0.12305534	0.49460316	-0.12210262	-0.1246426	-0.04667115	-0.028625509
Sub88	0.18597901	0.3721561	0.22523892	-0.07617072	0.6364351	-0.20051868	-0.10930154	-0.05039544	-0.059362147
Sub89	0.07767359	0.2994504	0.23198938	0.051868934	0.6555602	-0.15328532	-0.13386787	-0.027851678	-0.022022044
