	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
T33_GARD_BATCH_2	0.304574615306981	0.0233773014188506	0.479246032652513	0.0085007148059316	0.116195785836924	0.0681055499788
T62_LPS_FC1_4	0.126065518346958	0.115744733712033	0.220895850704442	0.103402054137144	0.429363566809349	0.0045282762900746
K52_LPS_FC1_4	0.0571111027928179	0.0848904817265093	0.626615156900225	0.0705019740740141	0.150395391639383	0.0104858928670512
T78_GARD_BATCH_2	0.0345620373725133	0.315159547696844	0.130103342721555	2.38777646335209e-05	0.516385287991715	0.0037659064527393
T119_CTL_FC1_4	0.0633940604353774	0.0373580710164668	0.682245942367416	0.0223514207982616	0.097919871865689	0.0967306335167889
K1_LPS_FC1_4	0.0653348168461504	0.0766240715761625	0.670646390627241	0.008464171574991	0.178921412706609	9.13666884664393e-06
K6_CTL_FC1_4	0.093830695432703	0.181405314733017	0.383408960500795	0.0929606908282674	0.160374114389987	0.0880202241152302
K1_GARD_BATCH_2	0.0862663038363501	0.0874343340948981	0.709723817194779	0.0006970133467022	0.0657676860160333	0.0501108455112377
T71_CTL_FC1_4	0.0668122102203949	0.176957331468872	0.372218795606588	0.0789822865945769	0.158535305842343	0.146494070267226
K20_GARD_BATCH_2	0.0822049343283817	0.103608413494718	0.662551055346637	0.0592958325678553	0.0349086596045272	0.0574311046578812
T77_GARD_BATCH_2	0.0407064124244517	0.0503463999962587	0.425497963987451	1.27584745144392e-05	0.483406767535435	2.96975818897808e-05
K23_CTL_FC1_4	0.107148843631907	0.0788191623380131	0.605782055680909	0.0358190842768502	0.0910174243702055	0.0814134297021148
T73_LPS_FC1_4	0.233132297313944	0.124927699958249	0.0727011663312565	0.0934989152920887	0.427060807258123	0.0486791138463393
T40_CTL_FC5	0.26999125187049	0.199008707435678	0.215460910559546	0.0779360299111032	0.155118302383918	0.0824847978392638
T69_CTL_FC5	0.115800454764131	0.119081337474214	0.332996477635572	0.0048690787779519	0.377875183045502	0.0493774683026282
K49_CTL_FC1_4	0.051857004969469	0.094666360221381	0.616391205343737	0.0299938079057026	0.17665339610622	0.03043822545349
K44_GARD_BATCH_2	0.0702854625850794	5.31802515866394e-06	0.794575077972217	2.02447961952624e-06	0.0270435409548224	0.108088575983103
T30_GARD_BATCH_2	0.0998611000478627	0.245559324423479	0.338186057863491	0.0659810148669724	0.154922662263669	0.0954898405345258
T107_GARD_BATCH_2	0.0568984653653191	0.179069439175724	0.559403158648258	0.042256753831069	0.0948610844910173	0.0675110984886125
K24_LPS_FC1_4	0.114520394399389	0.0977629166854047	0.539106098734567	0.0426365461181939	0.205108645631601	0.0008653984308446
K17_LPS_FC1_4	0.0665215454393296	3.95913256031024e-06	0.661151462135413	3.14138674964973e-06	0.179527014951269	0.0927928769546783
T106_CTL_FC1_4	0.116493354688708	0.108280615978061	0.212293594599375	0.0227657453763443	0.300347430921541	0.239819258435971
T7_LPS_FC1_4	0.102942261608946	0.0132354307917292	0.77626612157319	0.0005367797267006	0.0815551822038265	0.025464224095607
T4_LPS_FC5	0.119829243539963	0.0288136160951851	0.360594326303363	0.0051147891181467	0.415575391517011	0.0700726334263311
T14_GARD_BATCH_2	0.143489604503734	0.0472676003809161	0.603883842467428	0.0007131890648724	0.159839925127911	0.0448058384551381
T64_LPS_FC1_4	0.0565957166700602	0.12223391898177	0.210403204471662	0.0661161741207737	0.539838579490674	0.0048124062650591
K5_LPS_FC1_4	0.056816598299817	0.0469945201559557	0.505094572214824	0.000772252111549	0.318070057948442	0.0722519992694126
K31_LPS_FC1_4	0.0860193765595069	0.219881818187375	0.294131937943859	0.0379646547565701	0.361867616737598	0.00013459581509
K28_LPS_FC1_4	0.0924066986259867	0.124103127379867	0.51225028964538	0.0598847673276165	0.198490256626331	0.0128648603948184
K18_LPS_FC1_4	0.0640236176094084	0.0415949228530371	0.603719807151072	0.0932418403088497	0.177924880446975	0.0194949316306576
K2_GARD_BATCH_2	0.0043533156538219	0.524119101054319	0.140515496852054	0.26202563888665	0.0380637470933198	0.030922700459836
K14_GARD_BATCH_2	0.0910908324753516	0.0198280690381021	0.681279208776246	3.69735945164036e-06	0.114245696507758	0.093552495843091
K33_CTL_FC1_4	0.0738197834778823	0.0981018840548849	0.628703495232004	0.072026293175199	0.0589940260320831	0.0683545180279471
K12_LPS_FC1_4	0.0613998748824667	0.0587385180544409	0.642787579159285	0.0119383546069549	0.190654808592568	0.0344808647042858
T10_GARD_BATCH_2	0.1845705491446	0.189076260723949	0.472965037257267	0.036906374549011	0.0716920757762021	0.0447897025489704
K24_GARD_BATCH_2	0.132043054085431	0.0593158166180011	0.667325834325237	0.0126862988479314	0.0572357485650489	0.0713932475583517
T106_GARD_BATCH_2	0.118468437617112	0.0864516248967174	0.126880989196519	0.0487752483640189	0.38399756662554	0.235426133300093
T30_LPS_FC1_4	0.0769498782908713	0.245568728150923	0.255099584583379	0.0462672719420174	0.376108568986196	5.96804661380665e-06
T12_CTL_FC1_4	0.0632221699386877	0.151760377047159	0.682769095808295	3.74581424543551e-05	0.0436494831448314	0.0585614159185728
T27_CTL_B_BATCH_2	0.202916342336485	0.155018204994865	0.284177122105026	0.117705860751197	0.0948742001002534	0.145308269712173
T32_LPS_FC1_4	0.114502664672929	0.22123010352387	0.305124273802778	0.0857596280152964	0.27338074318005	2.58680507664216e-06
