	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
T31_CTL_FC1_4	0.163306379843129	0.0057229980854947	0.299751630902039	0.216068023092644	0.240969746131186	0.0741812219455081
T65_LPS_FC1_4	0.027470979756742	0.15604786834959	0.506234900236181	4.6393815572701e-06	0.29694925287946	0.0132923593964697
T33_GARD_BATCH_2	0.229519230969426	0.0048396135631271	0.370682634184784	0.0355372326032963	0.316404725827904	0.0430165628514623
T62_LPS_FC1_4	0.119086666726587	0.15417643753861	0.203708906590108	0.000316854151326	0.514441894761604	0.0082692402317651
K52_LPS_FC1_4	0.0572926730579689	0.0910701733571953	0.559283798850547	0.0079661696569123	0.284360335820761	2.68492566153263e-05
T78_GARD_BATCH_2	0.0330989069170861	0.257043801447639	0.0506831727648523	6.29626693066469e-07	0.658898035110404	0.0002754541333254
T119_CTL_FC1_4	0.0341683940343804	0.0128968817817886	0.541246895799377	0.0475871738214752	0.306085835786287	0.0580148187766917
K1_LPS_FC1_4	0.0511967534715508	0.0710877021599418	0.567788766715127	1.72215435483054e-06	0.309920692072877	4.36342614849151e-06
K6_CTL_FC1_4	0.0379226695070621	0.0826928656585762	0.270725165981396	0.196774768036544	0.344515501760964	0.0673690290554581
K1_GARD_BATCH_2	0.0354282013230353	0.0182701791999114	0.549234143662555	0.0858814585280187	0.289153562300841	0.022032454985639
T71_CTL_FC1_4	0.0187388012333099	0.0696037621708232	0.253805876502391	0.175091459931911	0.343335990561623	0.139424109599943
K20_GARD_BATCH_2	0.0353517061321453	0.029155208533559	0.547319731371452	0.143934086027946	0.200089917412255	0.0441493505226427
T77_GARD_BATCH_2	0.035811392143846	0.0557044731158065	0.212757984508389	6.8775941315412e-07	0.695273030671826	0.0004524318007195
K23_CTL_FC1_4	0.0630560426140146	0.040300428004111	0.470807449593653	0.0721331760455431	0.307430493582977	0.0462724101597015
T73_LPS_FC1_4	0.202567561491225	0.142821133426708	0.0626250812721806	0.0105582199431736	0.528352544684044	0.0530754591826684
T40_CTL_FC5	0.175888321009189	0.0832853017760637	0.11806937824832	0.232083576007321	0.316030565540816	0.0746428574182903
T69_CTL_FC5	0.0647135861361521	0.0520998080671602	0.274676708652228	0.0996316461753942	0.486980491567313	0.0218977594017523
K49_CTL_FC1_4	0.025888462679287	0.0430289029921646	0.500482629283092	0.0875698252568364	0.338408744508075	0.0046214352805451
K44_GARD_BATCH_2	0.0476410465441182	1.60252153262971e-06	0.664186486763072	4.51364865934656e-05	0.242808966567039	0.0453167611176449
T30_GARD_BATCH_2	0.0309945654061473	0.0887796946054615	0.241335285136691	0.230686864002762	0.325783854549072	0.0824197362998661
T107_GARD_BATCH_2	0.0151698165208536	0.0795690185088375	0.450979522262106	0.141739535306354	0.250841622572043	0.0617004848298064
K24_LPS_FC1_4	0.0944865561004841	0.108024080113763	0.484950706291215	5.34997656924414e-06	0.31252727231424	6.03520372859806e-06
K17_LPS_FC1_4	0.0484290847698939	9.13554982968078e-06	0.541765204793165	2.94055171359201e-06	0.382167428130067	0.0276262062053315
T106_CTL_FC1_4	0.0659359692759346	0.0520602441133884	0.121579527789335	0.0720672234512342	0.507695328177196	0.180661707192912
T7_LPS_FC1_4	0.071494766009952	0.0090512652942993	0.653090443489415	6.4590029608717e-06	0.265994686305954	0.0003623798974197
