	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X179_D0	0.42608818	0.22116321	-0.06980414	-0.18412137	0.24111564	0.29612085
X181_D0	0.40201798	0.11067784	0.17911096	-0.25332555	0.15522544	0.26353094
X182_D0	0.42096376	0.094806254	0.14624162	-0.20110624	0.24543418	0.1438699
X183_D0	0.36171767	0.25817987	0.038669128	-0.2263689	0.21032505	0.27034703
X184_D0	0.39936662	0.121400975	0.04507193	-0.187663	0.19112404	0.28480807
X186_D0	0.37378326	0.06625854	-0.089417376	-0.16701774	0.389187	0.26881444
X187_D0	0.3326504	0.11847153	-0.040919725	-0.17204626	0.2854366	0.36851302
X189_D0	0.46800494	0.11265697	0.11552475	-0.13782512	0.15679091	0.16629381
X190_D0	0.27436867	0.20385695	0.021089604	-0.19034308	0.18042041	0.3476036
X191_D0	0.4055543	0.16186953	0.19300167	-0.18708603	0.1502779	0.12114812
X194_D0	0.38399327	0.17173211	-0.041697174	-0.19986558	0.15038536	0.35467127
X195_D0	0.44171938	0.15351802	0.071571834	-0.2354368	0.14904694	0.281726
X196_D0	0.32720703	0.08549202	-0.040699955	-0.14939435	0.21646716	0.41111326
X197_D0	0.4179326	0.17122225	0.08046159	-0.141982	0.11530989	0.24120307
X199_D0	0.37985313	0.2446392	0.18300778	-0.2587324	0.13823688	0.17923713
X200_D0	0.3304751	0.137451	0.12587653	-0.22031312	0.24512523	0.23573308
X201_D0	0.29552755	0.13517222	0.029449672	-0.14995761	0.21059896	0.34246004
X202_D0	0.41162038	0.19495268	0.103711106	-0.23410726	0.14527862	0.18502443
X203_D0	0.23863924	0.18172882	-0.0005386211	-0.20445438	0.25329167	0.40042567
X204_D0	0.32955468	0.1443293	0.016130354	-0.21836686	0.23622131	0.34867096
X205_D0	0.5399239	0.13215952	0.07186971	-0.18430398	0.1668605	0.18056053
X206_D0	0.47304466	0.14699844	0.20972936	-0.19277449	0.16288956	0.12722284
X208_D0	0.32748404	0.18259919	0.015388399	-0.204679	0.23433657	0.25924987
X209_D0	0.4459617	0.18828075	-0.23385811	-0.19375066	0.28911543	0.42541924
X210_D0	0.48303857	0.06953228	0.13407743	-0.21004526	0.20839293	0.21645378
X213_D0	0.5062005	0.107955515	0.16440725	-0.20889764	0.1477509	0.11569396
X214_D0	0.4877489	0.099139035	-0.1693073	-0.2824023	0.32523224	0.40533862
X215_D0	0.51477593	0.051772743	-0.0044499356	-0.19537555	0.18764563	0.29424575
X217_D0	0.42662415	0.090615295	-0.04464479	-0.2137198	0.30489376	0.30135432
X218_D0	0.3613669	0.107288875	0.017559862	-0.19719239	0.24717438	0.3259083
X219_D0	0.39057806	0.06367867	-0.0131498575	-0.107923925	0.25399113	0.29081926
X222_D0	0.41683745	0.16884212	0.05468549	-0.22799271	0.24246688	0.22508919
X223_D0	0.41052327	0.058555704	-0.3326733	-0.21249564	0.31206676	0.58382577
X225_D0	0.37149766	0.1622717	0.009961551	-0.18356471	0.20771247	0.2298119
X226_D0	0.32090637	0.1738119	0.017946983	-0.1555953	0.16372685	0.31950045
X228_D0	0.31810603	0.02943273	-0.039938226	-0.15645407	0.33860406	0.34699905
X230_D0	0.39617229	0.24267791	0.09465144	-0.13614339	0.17314613	0.094231896
X231_D0	0.4443157	0.17806585	-0.06159073	-0.22791149	0.27363887	0.14811437
X232_D0	0.587622	0.096146084	0.0019696783	-0.12932521	0.24402146	0.028829828
X233_D0	0.20469408	0.16710497	-0.21326774	-0.21219711	0.31108603	0.6196091
X234_D0	0.3674312	0.14179319	-0.027981713	-0.21501668	0.26765066	0.33304462
X236_D0	0.39024583	0.22093056	0.13136995	-0.22215474	0.09744251	0.24804676
X237_D0	0.4704275	0.09396235	0.10896493	-0.17178619	0.15063563	0.21052289
X238_D0	0.3682085	0.020011263	0.028167978	-0.13999876	0.26782957	0.37557605
X239_D0	0.4392624	0.10842513	-0.022458002	-0.16284533	0.17706436	0.29967773
X240_D0	0.47153154	0.106148355	0.047238763	-0.18642251	0.16554861	0.22648005
