	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
X59_D0	0.155173922412396	0.0267311550496254	0.284152012098535	0.32233744027728	0.0841713813361181	0.127434088826046
X60_D0	0.155666289189635	0.0256442059133479	0.289541361862495	0.318677100994957	0.0871570744085826	0.123313967630983
X62_D0	0.15814354347306	0.026568921481823	0.288057372954882	0.319134703573731	0.0835687518235623	0.124526706692942
X63_D0	0.158251183905424	0.0286542398276175	0.28152738659376	0.324737849467656	0.0811840894972039	0.125645250708339
X64_D0	0.157912397648807	0.027336043805538	0.283075416306864	0.325206338548751	0.0830611372191824	0.123408666470857
X67_D0	0.155070731705091	0.0279160880347068	0.283150707718811	0.324585183662914	0.0838270422088174	0.12545024666966
X68_D0	0.157420790477925	0.027625364192854	0.283009883383847	0.333114445385137	0.078715993046981	0.120113523513256
X69_D0	0.159009889138639	0.0239961583712745	0.295439367089316	0.320761891043752	0.0797371227082358	0.121055571648783
X70_D0	0.157118032311325	0.0283923670893673	0.284803057639173	0.332480976797679	0.077730087714596	0.11947547844786
X71_D0	0.156187579713067	0.0286397182383444	0.286968210937855	0.32289342571623	0.080799140697317	0.124511924697186
X73_D0	0.157923542197587	0.026165218939909	0.289862764536101	0.326223512546736	0.0805669922589234	0.119257969520744
X74_D0	0.159136733957678	0.027971839880149	0.292174896103324	0.323460039546537	0.077032784809571	0.120223705702742
X75_D0	0.160268220862072	0.0268062520930494	0.286877824835942	0.326477689007527	0.0819977358792835	0.117572277322126
X76_D0	0.15779220628613	0.0252581152394651	0.29075836272904	0.318550720332956	0.0829568235011837	0.124683771911225
X77_D0	0.157283826326221	0.0277871289227301	0.284916667107613	0.327176717501402	0.0816782823560175	0.121157377786017
X78_D0	0.159019931104859	0.0285272531885843	0.278201737390591	0.333233499426499	0.082387319390902	0.118630259498565
X79_D0	0.157709729950972	0.0277355500003882	0.285968763834218	0.329304470833491	0.0782677012536783	0.121013784127253
X80_D0	0.157648541190161	0.0264843160926674	0.292013236966286	0.32124672018944	0.0808165566917862	0.121790628869659
X81_D0	0.15779879929672	0.0257351239912813	0.295360779324362	0.322983863403164	0.081107974603466	0.117013459381007
