	CD4Tcells	NK	CD8Tcells	Monocytes	Bcells	Unknown
sample_199	0	0.398009742809201	0	0.399585800996038	0.0	0.202404456194762
sample_200	0	0.610116169410866	0	0.230962957432385	0.0	0.15892087315675
sample_201	0	0.61512105047061	0	0.207632414422736	0.0	0.177246535106654
sample_202	0	0.485230201899588	0	0.341442435735791	0.0	0.173327362364622
sample_203	0	0.656340939540233	0	0.211625138213236	0.0	0.132033922246531
sample_204	0	0.64067622685485	0	0.237394860062676	0.0	0.121928913082474
sample_205	0	0.463698529914636	0	0.346233463534177	0.0	0.190068006551187
sample_206	0	0.645629293799947	0	0.242606401034321	0.0	0.111764305165731
sample_208	0	0.501843125900641	0	0.330066009555209	0.0	0.16809086454415
sample_209	0	0.54795706958246	0	0.334688321156924	0.0	0.117354609260616
sample_210	0	0.526542159379878	0	0.319704786972891	0.0	0.153753053647231
sample_213	0	0.334379141172868	0	0.52594377261917	0.0	0.139677086207962
sample_214	0	0.58353806317197	0	0.332250717767744	0.0	0.0842112190602864
sample_215	0	0.62023931758319	0	0.281700702208848	0.0	0.0980599802079619
sample_217	0	0.642032933078089	0	0.266037078540407	0.0	0.0919299883815044
sample_218	0	0.619404155607649	0	0.246275456823394	0.0	0.134320387568957
sample_219	0	0.567906337851508	0	0.28768787563331	0.0	0.144405786515182
sample_222	0	0.591596850581567	0	0.306595685943637	0.0	0.101807463474795
sample_223	0	0.657689323669944	0	0.280305238028261	0.0	0.0620054383017952
sample_225	0	0.491845246512914	0	0.345355264755722	0.0	0.162799488731364
sample_226	0	0.505151228669508	0	0.340450285917727	0.0	0.154398485412765
sample_228	0	0.583168498663159	0	0.272156653075884	0.0	0.144674848260957
sample_230	0	0.470452312843845	0	0.325280799076655	0.0	0.204266888079501
sample_231	0	0.539069810331498	0	0.357952888781803	0.0	0.102977300886699
sample_232	0	0.390804660551135	0	0.476772312291742	0.0	0.132423027157123
sample_233	0	0.700910949154039	0	0.176017245643795	0.0	0.123071805202166
sample_234	0	0.60598266855038	0	0.274094181822343	0.0	0.119923149627277
sample_236	0	0.402510546676301	0	0.415330548537817	0.0	0.182158904785881
sample_237	0	0.378619068763875	0	0.425153651756452	0.0	0.196227279479672
sample_238	0	0.570465990285717	0	0.233720706713276	0.0	0.195813303001007
sample_239	0	0.486715293907148	0	0.330796342655126	0.0	0.182488363437726
sample_240	0	0.420015523175907	0	0.429324887409098	0.0	0.150659589414995
