	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
K53_GARD_BATCH_2	0.0	0.124364643178359	0.0	0.0	0.808991228234138	0.0666441285875032
T109_GARD_BATCH_2	0.0	0.090105490402107	0.0	0.0	0.909894509597893	0.0
T76_CTL_FC1_4	0.0	0.0	0.0	0.0	0.972712706903129	0.0272872930968708
T36_LPS_FC5	0.0	0.0461500291327503	0.0	0.0	0.933631744685708	0.0202182261815412
K38_LPS_FC1_4	0.0	0.0	0.0	0.0	0.935830570211215	0.064169429788785
K18_CTL_FC1_4	0.136651661098723	0.0032502327754495	0.0589239007931529	0.0379126934893198	0.685214739141579	0.0780467727017756
K23_GARD_BATCH_2	0.0	0.0067843008423603	0.0	0.0	0.874569035687324	0.118646663470315
K30_GARD_BATCH_2	0.0	0.0	0.0008432960455415	0.0	0.89030768289655	0.108849021057909
T121_LPS_FC1_4	0.0027910858575283	0.0	0.0	0.0	0.969992004628002	0.0272169095144701
K8_LPS_FC1_4	0.0	0.0	0.0	0.0	0.944435512268077	0.0555644877319234
T10_CTL_FC1_4	0.0	0.0595684525874221	0.0	0.0	0.890117977838649	0.0503135695739288
T73_GARD_BATCH_2	0.0	0.0039522916208892	0.0023978792922853	0.0	0.963649784832455	0.0300000442543708
T36_CTL_FC1_4	0.0	0.172394863006959	0.0	0.0	0.802535897609367	0.0250692393836747
T72_LPS_FC1_4	0.0	0.0	0.0005994310743345	0.0	0.922727655453732	0.0766729134719331
K35_GARD_BATCH_2	0.0	0.0038149808627405	0.0	0.0	0.868672066286895	0.127512952850364
K6_GARD_BATCH_2	0.0	0.0551873355950671	0.0	0.0	0.922495670569172	0.0223169938357607
K44_CTL_FC1_4	0.0	0.0	0.0	0.0	0.956821503627529	0.0431784963724706
T8_LPS_FC1_4	0.0	0.0	0.0	0.0	0.999322309195167	0.0006776908048331
T28_GARD_BATCH_2	0.0	0.0265800659940999	0.0	0.0	0.943903902717921	0.0295160312879796
T13_CTL_FC1_4	0.0	0.112142594954923	0.0	0.0	0.887857405045077	0.0
T65_GARD_BATCH_2	0.0	0.0016249566161115	0.0006128314114513	0.0	0.927276864096241	0.0704853478761965
T32_CTL_FC1_4	0.0	0.105496019108733	0.0	0.0	0.858473576287623	0.0360304046036442
K29_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.871753485907981	0.128246514092019
T46_CTL_FC1_4	0.0	0.0	0.0236658618702721	0.0	0.907041417546368	0.0692927205833603
T78_LPS_FC1_4	0.0	0.0	0.0	0.0	0.993698892471331	0.0063011075286687
T14_LPS_FC1_4	0.0	0.0	0.003915740751056	0.0	0.926316784463865	0.0697674747850786
K37_LPS_FC1_4	0.0	0.0461320223223392	0.0	0.0	0.85515888874404	0.0987090889336203
T80_LPS_FC5	0.0394335020731919	0.0	0.0559502969354722	0.0374846895876128	0.837215412755865	0.029916098647858
T28_LPS_FC1_4	0.0	0.0079814851201738	0.0	0.0	0.967177018087528	0.024841496792298
K11_CTL_FC1_4	0.0028271947638525	0.0	0.031449321748378	0.0	0.964987063436073	0.0007364200516964
T65_CTL_FC1_4	0.0417025838559657	0.0085879206632016	0.0239629688101364	0.0013335062626109	0.899242321807458	0.0251706986006274
K19_GARD_BATCH_2	0.0	0.0	0.0531573047769122	0.0	0.853917612601783	0.0929250826213051
K22_GARD_BATCH_2	0.0	0.0002284557662822	0.0022883144501032	0.0	0.909165285633827	0.088317944149787
T113_CTL_FC1_4	0.0	0.0684676277780802	0.0024494041753643	0.0	0.905348889340563	0.0237340787059927
T121_CTL_FC1_4	0.0	0.0	0.0	0.0	0.950425808965565	0.0495741910344355
T35_CTL_FC5	0.0	0.0338486902801823	0.0037384698175776	0.0	0.912640771358561	0.0497720685436786
T36_GARD_BATCH_2	0.0	0.177054102613129	0.0	0.0	0.813424431162354	0.0095214662245174
T102_LPS_FC1_4	0.0	0.0	0.0	0.0	1.0	0.0
T43_GARD_BATCH_2	0.0	0.0507755680984398	0.0	0.0	0.93421367367087	0.0150107582306905
T5_GARD_BATCH_2	0.0	0.0271994383636994	0.0017396528159311	0.0	0.907827410702699	0.06323349811767
T13_GARD_BATCH_2	0.0	0.0979191195550794	0.0	0.0	0.902080880444921	0.0
T113_GARD_BATCH_2	0.0	0.0580853196375057	0.0	0.0	0.937097894429403	0.0048167859330908
T70_GARD_BATCH_2	0.0	0.0270181094485283	0.0	0.0	0.916485275087025	0.0564966154644463
T18_CTL_FC1_4	0.0	0.0	0.0031152449766516	0.0	0.916592925662655	0.0802918293606936
T62_CTL_FC1_4	0.0	0.0325119588899729	0.0002090717405803	0.0	0.909117704856114	0.0581612645133327
