	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X149_D0	0.38110888	0.06780299	0.15399614	0.0	0.21731879	0.17977321
X150_D0	0.40390417	0.06486823	0.19157541	0.0	0.20633069	0.1333215
X152_D0	0.4919071	0.0071610357	0.16082855	0.0	0.2019207	0.1381826
X153_D0	0.5350267	0.025563007	0.23461942	0.0	0.13643232	0.06835857
X154_D0	0.5448349	0.02720318	0.11034235	0.0	0.15175083	0.16586874
X155_D0	0.5407099	0.044314153	0.110468954	0.0	0.19826172	0.10624527
X160_D0	0.441794	0.03442389	0.15920325	0.0	0.2054505	0.1591284
X161_D0	0.44829214	0.037657827	0.2567174	0.0	0.13118501	0.12614766
X165_D0	0.55172324	0.025105154	0.10738029	0.0	0.2034781	0.11231325
X167_D0	0.4345038	0.034132093	0.35972264	0.0	0.10955626	0.062085222
X168_D0	0.51716447	0.026384091	0.22510344	0.0	0.1329384	0.09840965
X169_D0	0.47779346	0.08942349	0.146584	0.0	0.16903508	0.11716406
X170_D0	0.39256614	0.034895368	0.103422575	0.0	0.20994772	0.25916818
X171_D0	0.572004	0.03771211	0.13257895	0.0	0.18402345	0.07368136
X172_D0	0.5011402	0.01509218	0.14230894	0.0	0.16062978	0.18082894
X173_D0	0.45680276	0.011464415	0.29550397	0.0	0.09621649	0.14001238
X174_D0	0.4380725	0.061538704	0.28824928	0.0	0.1272315	0.08490802
X175_D0	0.3589337	0.034860797	0.2262986	0.0	0.21230587	0.16760103
X179_D0	0.5009234	0.038241234	0.091977775	0.0	0.22101183	0.14784576
X181_D0	0.4016867	0.026395837	0.22391522	0.0	0.16767314	0.18032905
X182_D0	0.43362164	0.048867192	0.21648504	0.0	0.20528907	0.09573708
X183_D0	0.40630752	0.08185383	0.17994954	0.0	0.20525192	0.12663718
X184_D0	0.49931434	0.030503485	0.14649889	0.0	0.17373699	0.14994627
X186_D0	0.44681594	0.031999875	0.048487984	0.0	0.30935585	0.16334039
X187_D0	0.35034958	0.056234162	0.13406792	0.0	0.22782886	0.23151946
X189_D0	0.47437403	0.037045874	0.2363235	0.019860689	0.15710975	0.07528614
X190_D0	0.3652398	0.0719091	0.17522497	0.0	0.18541819	0.20220797
X191_D0	0.46873346	0.050455146	0.27180105	0.0	0.15437797	0.05463236
X194_D0	0.44686964	0.06678967	0.14460512	0.0	0.17834032	0.16339532
X195_D0	0.47749314	0.069814175	0.23647481	0.0	0.12635256	0.08986523
X196_D0	0.35570666	0.035296254	0.15671661	0.0	0.1894878	0.26279268
X197_D0	0.44912747	0.054937568	0.23204578	0.0	0.13726203	0.12662713
X199_D0	0.41859305	0.08050366	0.260922	0.0	0.13429171	0.10568966
X200_D0	0.35786483	0.067994066	0.22756171	0.0	0.18228962	0.16428982
X201_D0	0.33539852	0.05729626	0.22071852	0.012996902	0.17309873	0.20049112
X202_D0	0.44811794	0.074613184	0.20446253	0.0	0.16350715	0.10929915
X203_D0	0.32469922	0.06222743	0.14996223	0.0	0.20583768	0.25727347
X204_D0	0.38139203	0.040042736	0.15520154	0.0	0.2045868	0.21877685
X205_D0	0.53261876	0.03233363	0.21638004	0.0	0.14581697	0.07285064
X206_D0	0.4207057	0.04059256	0.31003803	0.0	0.13970056	0.088963136
X208_D0	0.4058967	0.07193667	0.18404888	0.0	0.20453554	0.13358228
X209_D0	0.4698192	0.046718266	0.0	0.0	0.21602692	0.26743567
X210_D0	0.47949868	0.021097379	0.25233644	0.0	0.16308919	0.08397832
X213_D0	0.5018718	0.058554314	0.2545013	0.0	0.11553886	0.06953367
X214_D0	0.4603875	0.04578989	0.006602517	0.0	0.25044394	0.23677628
X215_D0	0.4871352	0.029249128	0.1750886	0.0	0.1443115	0.16421562
X217_D0	0.44541475	0.044740696	0.09891266	0.0	0.24243864	0.16849333
X218_D0	0.39837497	0.027213609	0.12340126	0.0	0.1904647	0.26054543
X219_D0	0.43124667	0.024258867	0.16699457	0.0	0.20738088	0.17011908
X222_D0	0.4387026	0.040942896	0.20942555	0.0	0.21029973	0.10062918
X223_D0	0.4056497	0.029163532	0.0	0.0	0.22747491	0.33771184
X225_D0	0.43628168	0.071302876	0.19695063	0.0	0.16276254	0.13270225
