	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X179_D0	0.47134808	0.13065621	0.05767094	0.0	0.1382479	0.20207682
X181_D0	0.43528572	0.11884741	0.10346442	0.0	0.1268659	0.21553656
X182_D0	0.4476515	0.1296512	0.093741365	0.0	0.13621722	0.19273871
X183_D0	0.43738368	0.14381205	0.080076225	0.0	0.13646547	0.20226261
X184_D0	0.47855875	0.124184854	0.07613745	0.0	0.12353696	0.19758205
X186_D0	0.44440886	0.12768874	0.04163353	0.0	0.16679649	0.2194723
X187_D0	0.41571033	0.12936908	0.06630143	0.0	0.15035681	0.23826233
X189_D0	0.47060272	0.12863508	0.098460875	0.0	0.118363515	0.18393788
X190_D0	0.4226455	0.13827176	0.079713285	0.0	0.13330115	0.22606833
X191_D0	0.46458143	0.13155709	0.11266543	0.0	0.11701283	0.17418322
X194_D0	0.45766833	0.13760737	0.07294342	0.0	0.1277453	0.2040356
X195_D0	0.47633004	0.13732503	0.10368963	0.0	0.10680446	0.17585082
X196_D0	0.4203625	0.1220856	0.07471537	0.0	0.1390081	0.24382842
X197_D0	0.46034276	0.1330178	0.09622236	0.0	0.11355512	0.19686188
X199_D0	0.44985226	0.14056075	0.10724807	0.0	0.11357203	0.18876693
X200_D0	0.4175756	0.13632569	0.09580764	0.0	0.13481534	0.2154757
X201_D0	0.41706976	0.13031672	0.08937411	0.0	0.13235667	0.23088278
X202_D0	0.4580168	0.14077377	0.08875137	0.0	0.12198215	0.1904759
X203_D0	0.4084783	0.13008639	0.07314028	0.0	0.14382403	0.244471
X204_D0	0.4276921	0.124262296	0.07660673	0.0	0.14046083	0.23097806
X205_D0	0.4938854	0.12550221	0.09380759	0.0	0.11159699	0.17520785
X206_D0	0.44884264	0.1260719	0.11767857	0.0	0.11347081	0.19393605
X208_D0	0.43721417	0.13880828	0.08101801	0.0	0.13723736	0.2057221
X209_D0	0.46870565	0.13226351	0.023551075	0.0	0.1392936	0.23618619
X210_D0	0.4718255	0.1178999	0.108846195	0.0	0.11874945	0.18267891
X213_D0	0.4843324	0.13434315	0.10495444	0.0	0.10315376	0.17321622
X214_D0	0.4581728	0.13168922	0.035126965	0.0	0.14838783	0.22662315
X215_D0	0.47227457	0.12327723	0.08331117	0.0	0.1157984	0.20533867
X217_D0	0.45001394	0.13007092	0.0572231	0.0	0.14717986	0.21551225
